Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct,Explanation
SP-195_CR,"James was taking a test with 31 questions. He answered to 17 questions. Towards the end of the time, he looked onto other people's choices and answered 7 questions that way. He was so lucky that he remembered how to answer another 7 questions as well. Surprisingly, he got 100% in the test. What did he do with the rest of the questions that he got 100?",It is so difficult that he cheated with others.; He didn't know the answer and just guessed them randomly.; He owned a nice relation with the teacher and just asked his teacher.; None of above.,",.',''label':,1''Some':SomeSomeSome daughters get have and and the brother'''daughter daughter same same brother brother'brother brother brothers loved not loved, and and and away''None and and brothers brothers brotherschoice111,,,,': ,,''''''131131', '':':':': a.', boxer’s boxer drink?',''': 'PC 'distristractor'' '",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-196,"Ten fish are in a tank. Two fish drown. Four fish swim away.Three fish die.
How many fish are left in the tank?",Seven.; Five.; Twenty.; None of above.,"Mustardard have and and and has has daughter brother..... only  people people in the, the the the that brother possible':?',?',answer daughters daughter shares the brother.',.', '.',.',.',':':'' married married and have have have and.', 'ddactor':':'' brothers '': by by by by moved moved away '.',istr.',istractoruns.',)':NoneNone.',.',.',.', '': and '''' ['': '",Seven.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-196_SR,A tank contains ten fish. Two fish drown. Four fish are swimming away.Three fish perish. How many fish are there left in the tank?,Seven.; Twenty.; Five.; None of above.,"have have six daughters has has has brother brother, But there there is only only people people the the, the how is possible that possible possible answer 'EachEach each shares brother brother brother brother is':actor1':':SomeSome get married and have and andd.',.',ddactor':2 '0'brothers by by by by by and and awayistristr 'istractorunsunsure 'NoneNone of.', '.',''1 '' '':':SomeNone daughters married",Seven.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-196_CR,"A chopper had ten pigeons inside and threw all of them out to die. However, there were some tall trees that could've survived them. How many survived?",Eight.; Five.; Three.; None of above.,"daughters brother one one one brother brother are are are are   select each the has, how are the possible possible'reansweranswer 'EachEachEach same shares brother mightEach answer select brothers1':'''re daughters and and but and and but.',.','re2actor02':Some that not not and and and and and and away''''unsunsactoractor are areNone'''' and and1-,':':SomeSomeSomeSome daughters get get got have",Three.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-197," A woman went to Virginia to get a job. She promised her mother she would come back and visit sometime. Then, in the middle of winter, her mother shouted, ""April is here!"". How is this possible? ",The woman's name is April.; Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; None of above.,"brother brotherSome '0istractor':':Some get daughters getHere and have own get owndistristractoractoractorSomeSome some were not not the to and family away away.', 'istristractorunsuns're''None of''''':1,,Somechoice':':Some': daughters get have have have own and.', '.', shares shares.',.',.',.',.',.','were were not loved and and and away and and'and and and and '': brothers",None of above.,The woman's name is April.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-197_SR,"A woman travelled to Virginia to look for work. She promised her mother that she would return someday. Her mother then exclaimed, ""April is here!"" in the dead of winter. What makes this possible? ",Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; The woman's name is April.; None of above.,"'re might a're might're're're possible select're areSomeSomeSome getSomeSome to're to selectYou ''re ''re ''reYou'' some and and and and and and're're're're ''reactorunsactor are are 'Some'''''and11,'re ''re'reSelectSome brotherEach have're're're own'' 'Each share sharesactorMaybe. 'Some daughters are are brother not got1 and and and'and and and and",None of above.,The woman's name is April.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-197_CR,"A man was asking somebody where is you?, the man then pointed out to the person asking the question. How's that possible?",The man pointed to some people at random.; The name of the man who was asking the question was You; The man was angry for his impolite question.; None of above.,"'re are the possible'is''Each'reThe shares brother brother're brother're brotherThe':':'' get get getYoud got and to and.', 'actoractoractor21 '':'and and and1 and and'andactoractoractoristractoractoractoractor 'NoneNone'''' '':None0'' '':SomeSomeSome daughters have daughters theirSome the.','' 'actor shares shares.',.',.', brother.', brotherSome.', not not were",The name of the man who was asking the question was You,The name of the man who was asking the question was You,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-198,"What animal has no wings, but yet will fly?",An elephant.; A caterpillar.; An eagle.; None of above.,"'reSP-0're1- to ''re and Mr Mr. Must Must have have six andYou daughter brother brother're brother are're're're  are that a has each each, are are are possible might choices answerEach mightEachEach're're aHere might answer2 selectactor're'reSomeSome're and are and and and butYou': ''reYou2'''re'not'and and and and and and and andd '((actoractor are are 'Some '",None of above.,A caterpillar.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-198_SR,What animal does not have wings but can fly?,An elephant.; An eagle.; A caterpillar.; None of above.,"SP':SP-'re':', ''re and're.Mr Mr... six one sixYouYou brotheranswer brother are're're might are're but that are a the each, to how're possible possible're 'answer':The answerYou theHere brother brother might're0 select1're 'Some get get'are but and own to'' '':actor2 'actorSome'brothers and and and and and and'and''istr 'actor 'unsYou 'AreYou",None of above.,A caterpillar.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-198_CR,What animal does not have legs but can jump?,A fish.; A tadpole.; A rabbit.; None of above.,"'re're--,'re ''re'reYouYouYou'reYouMr.. one YouYouYouYou are're're're'reBut're're are're're9 but're has're're're're're's're ''reYou're aEach theHere are Might are're're're'reSome'reSome1 getHereYou are have're're're':':dactor2 '':It'reSome and and and're and and and and and 'YouactoractorunsYou're're 'Some",A tadpole.,A tadpole.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-199,"A logical with some time to kill in a small town decided to get a haircut. The town had only two barber, each with his own shop. The logical glance into one shop and saw that it was extremely until. The barber needed a shave, his clothes were unkempt, and his hair was badly cut. The other shop was extremely neat. The barber was freshly shaved and spotlessly dressed, his hair neatly trimmed. Why did the logical return to the first shop for his haircut?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,"and the and and and and and and and222actor12111212,,13,actor '11WP10',?',',':'''re is is to'brothers brother': model 'PPP '':istristrdactor':':C 'CPactoractoractoractoractoractor, ': by brother '.',dd 'actor by marriedactor by byC': and':istrddd '':dTheD':",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-199_SR,"In a small town, a logical with some free time made the decision to get a haircut. There were only two barbers in the town, and they each had a shop. The rational glance into one store revealed that it was incredibly expensive. His clothes were messy, his hair was poorly cut, and the barber needed to shave. The other store was very well-kept. The barber had recently had his hair cut and was immaculately dressed. Why did the logical get his haircut at the first place he went?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,".... choice...11102222,33actor 'actor're are-2's got': gotactor': is is is a are'''re're're'reP are.',.',2istractor111 '':Some1':actoractoractoractoractor, brother some brothers brothers':':.actor2actoractorListactorList by11 andactorYou'might''actor':1111 by,1 but':1",None of above.,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-199_CR,"In a remote village, a wise traveler decides to check out local dental implants. There are only two dentists in the village, each with a clinic. Glance at the first clinic and see that the dentist's own teeth are badly planted and his salon is poorly maintained. The second salon is tidy, the dentist's teeth are well planted and his attire is spotless. Why smart travelers choose dental implants in the first clinic?",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.; The traveler chose the first dentist because he believed the untidy appearance suggested that the dentist was so busy.; The traveler went to the first dentist because he felt sympathy for him.; None of above.,".',.',.', brothersSomeSome brothers brothers were loved by family and and awayNoneNoneNone and222':choice1':11122,32130actor '1':'and1 to '':question':':What a': favorite'''' ''s'''' 'distristr':1're1CCCdistractoractoractoractoractor( '': brother':':1're're daughtersactor':actoractor are0 a':",None of above.,Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-200,A plane crashed between the border of Canada and America. Where do you bury the survivors?,America.; Canada.; In the middle of America and Canada.; None of above.,"'.. Mr Mr.. one six sixYouYou each each one brother is But are are're  9 each the,,'re is is are possible possible '': 'EachEachEach the shares brother brotherThe brother1 daughters':':'' getSome and married and and own1.',.', 'actoractor2 '': 'Some brothers and and and and and and and and.', 'actoristractoractoractoractor''None,'' '1actor1,''",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-200_SR,A jet crashed near the border between Canada and America. Where do the surviving go to be buried?,Canada.; In the middle of America and Canada.; America.; None of above.,",Mr. Must. and and daughters and and daughter has daughter brother brother brother But'daughters99 people9 in,, how is is possible possible possible answer 'EachEach is shares shares look shares shares.', daughter.',.',':':''SomeThe get and and have own family.',''istr':2': '': only brothers and by and by andactor'away''istractoristrunsunsure''None'''' '':None-'' 'Some",In the middle of America and Canada.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-200_CR,We have 5 roosters and each one gives 1 egg per day. How many eggs do we have after a week?,Five.; Thirty-five.; Seven.; None of above.,". Must and'and and andList'daughters brother brother. brother ''re might9  people people the,,, brother the the possible brother''ItTheTheEach the brother theThe shares':istr selectactor':'' get get marriedHere get have get their but2istristractor': '':0 brothers brothers': by by and and andactoristractor 'actoristractoractoractoruns 'NoneNoneSome'' 'label':1,''''': '",Seven.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-201,"Imagine you are in a room, with no doors, windows, or anything. How do you get out?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"'re from're YouYou you you're answerYouHere you might'reYou are're you're but model each to, to are're're youYou'reYouYouYouYou'reYou the're're're're're're're':'re1're'reYouYouYou have but're select're1actoractor ''re andEach're'and and1 to, to'reactor haveactor'reactoractor're're are areYou're're '':'re're11's're ''re'reSome1",Stop imagining.,Stop imagining.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-201_SR,"Assume you're in a room with no doors, windows, or anything else. How do you escape?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"Mrs Must.You You six daughtersYouHereYou brother brother brother But But But only are 99 people,, how how'that possible possible answer''EachEach daughter same brother brother brother brother brother possible select1': get some get get married married got their have own family '.',2actoractoractor':Some brothers brothers': by loved and and and moved andd 'istrdistrunsunsactor''None inNone.',':label':110''': ['':",None of above.,Stop imagining.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-201_CR,You're dreaming that you're in a jungle in which a tiger is approaching you. What's the best thing to do in that situation?,Fight with the tiger.; Jump over it.; Waking up.; None of above.,"and have has. brother.. are there but   that people the,,, is is that that areanswer':':YouEach might shares shares brother brother.', 'actoractoractor': '':Some get marriedSome and and and family''distractor':2actorSome'brothers and by by, and by': away awayistristristractoractorunsuns.', 'None'' '.', '':1 ''choice':SomeSome daughtersSome get have get and and",None of above.,Waking up.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-202,"I buried a stone in the ground, and it grew and produced fruit. How is this possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; None of above.","unsactor''NoneNoneNone'' '1None1 ''':':Some.',':?','and '.',''''.', shares shares.', brother.', brotherSomeSomeSome were not loved were and and'and and and '', and and':': not':':1,102,2,,3,, '':': '--''''':''': boxer'' boxer''''':''''''",None of above.,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-202_SR,"I planted a stone, and it sprouted leaves and fruit. How is that even possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; None of above.","unsunsuns''NoneNone.',''label':None-1''Some':SomeSome.', their'have '.',.',.',''.', daughter.', same.',.',.', brotherNot were brothers not loved by and and and and and1 and and'and'], and brothers1':1110122,,3':':''''-','''' '': is': '.',''?',?', '':':P''''",None of above.,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-202_CR,"Two farmers got into a heated argument and started fighting. A farmer was so enraged that he threw a handful of stones at the other farmer. The stones hit the farmer exactly, but the other farmer received no harm at all.  Why?","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.; The other farmer was wearing protective clothing or had some form of shield that prevented the stones from causing harm.; The stones were small or lacked enough force to cause any significant injury.; None of above.","by by and and away away 'istr''unsactoruns'' 'None''.', '':':1,'' '':':':': daughters','and''.','''shares shares own same'' brother.', brothersSome not loved loved loved and and and and':NoneNoneNone and brothers':': brothers':':1,,, 0':,,3,{' '':': '-131''''''': a boxer'boxer",None of above.,"The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-203,How many birth days does the average person have?,"People may celebrate their birthdays annually, so it depends on their life span.; They technically only have one birth day in their lifetime.; It can be zero as some people are too busy to celebrating their birthdays.; None of above.","9 that the9, each how is is possible possible possibleansweranswer':EachEach'reThe might brother brother choices mightactor select':':':Some get getHere and and and and and '.', 'istractoractor '':Some not brothers and and and and and and away'away 'actoristractorunsactoractor''NoneNone''''11,''''SomeSomeSome daughters have get get, the family'''daughters daughter shares brother brother brother",They technically only have one birth day in their lifetime.,They technically only have one birth day in their lifetime.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-203_SR,How many birth days do most people have on average?,"People may celebrate their birthdays annually, so it depends on their life span.; It can be zero as some people are too busy to celebrating their birthdays.; They technically only have one birth day in their lifetime.; None of above.","9 people9 each family, family is possible possible'are'' 'Each each similar shares ad.',': brother answeristr1':':Some Some daughters get and and and own to.',.', 'istractor2':':'that not not and and and and and away and''dactoractor(uns are are of 'SomeSome 'labellabel.11,Some '':SomeSome daughters get get have have and. family''SomeSome shares same brother brother.', brother",They technically only have one birth day in their lifetime.,They technically only have one birth day in their lifetime.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-203_CR,"From elementary school to collage, how many ""first day of school"" does the average person have in their lifetime?","Average poeple have 4: lementary school, middle school, high school, and college.; They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.; Average people have ""first day of school"" in each semester, so it will be more than 10!; None of above.","':':':2'''and and and and and and'and''istractoractorunsactor are are 'Some'''''and1-''choice 'SomeSomeSome daughters daughters get-Some the shares.','' possible possibleactoractor.', brother 'SomeSome'were not loved to and and and away':1None(2 brothers'brothers brothers13 to111120,,33, '':': '1-',.',",None of above.,They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-204,An electric train is going south at 98 mph. The wind is blowing northeast. Which direction is the smoke blowing?," Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; There is no smoke. it's an electric train!; None of above.","and and'andd''actoristrunsuns are'' of'''''re': and-'' 'SomeSomeSomeSomeSome get have and get the brother and 'Each possible shares're're same brother brotherSomeEachSome were not to by and and and away'of of is.( got':choice3.11,  22  3 boxer{'{'': are '-- '?',question':':'is a': a're are're",None of above.,There is no smoke. it's an electric train!,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-204_SR,"At 98 mph, an electric train is traveling south. There is a northeast wind. Where is the smoke coming from?","There is no smoke. it's an electric train!;  Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; None of above.","and'ownd 'distractorunsactorWhat 'None 'Some'''and and,D''''SomeSome1 get get have have their'brother'' 'actor shares brother same brother brotherSome.',Some are not not loved not and and and away and1 and above above has': andactor brothers.111 0,2,133 ',':''--131': '.',''actorWhat boxer'boxer'boxer '",None of above.,There is no smoke. it's an electric train!,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-204_CR,A submarine is moving west at a speed of 30 knots. There is a strong current moving east. Where are the trail of bubbles coming from?,"The current is moving east, the bubbles would be carried by the current towards the west.; The submarine is moving west, the bubbles would be carried in the direction opposite to the current.; There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.; None of above.","and to to correct.', 'istr2 '2 'Some brothers brothers not and and and and and away away''d 'actorEach are are are'are''.',choicelabel':11,SomeSome ['SomeSome but get have have from and..'' are areSome brother brother brother brother brotherSomeEachEach brothers loved loved1 and is moved away': of of..2..choice choice.3 a10122213 boxer': '",None of above.,There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-206,"There is a pink single-story house and everything in it is pink. The doors are pink, the windows are pink and the top is pink. What color are the stairs?",There are no stairs in a single story house.; It should be pink as the whole house is in pink.; The stairs is uncolored as people always step on that.; None of above.,"'re're're are're're're'reYou're'reSomeSome daughtersYou andYou and and and own''istr22 ''re're get'and and and and and and're're anddactorYouactorYouactorYouYouYou 'YouYou ''re': and11, ''re're'reSomeThere daughters get brother get. their. brother'gotactoractor shares brotheractor brother brother brothers brothersSome brother not, by people and and1're're got and has2 and",It should be pink as the whole house is in pink.,There are no stairs in a single story house.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-206_SR,"The entire single-story home is pink, including the outside. The windows, the top, and the doors are all pink. What are the stair's colors?",The stairs is uncolored as people always step on that.; It should be pink as the whole house is in pink.; There are no stairs in a single story house.; None of above.,"might each each shares brother brother brotherSome brotheristr.',':': 'SomeSome daughters are and and and and family.', 'distractor':': '':'and'and and and and'' awayistr''istractoractor 'uns''None are''''':,-'' '': '':Some':','' and '.','''' own same brother brother brother 'Some brothers brothers were not not loved and and and away and '1':",None of above.,There are no stairs in a single story house.,no,"Based on context and semantic similarity, the chosen answer matches the question."
