Question_ID,Question_Text,Answer_Choices,Model_Predicted_Answer,Actual_Answer,Predicted == Actual,Explanation
11,Both persons who were playing chess won. What caused this to happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.","dd':actor  family family moved- the.',.',.',.',.', away and',  ':': marrieddd..', 'actor their.

11 the.',actor':d2 moved.', '.',.', moved1C.',.', '",They were playing against other opponents.,no,"Based on context and semantic similarity, the chosen answer matches the question."
12,"Two chefs were making food, at some points both poured a salt and pepper into their food, however the food wasn't too spicy afterall when customers were eating it. How's that possible?",The salt and pepper are  expired.; Two chefs were making two different foods and they didn't add the spices twice to the same food.; All customers were polite and didn't tell them in public.; None of above.,".',.',.',.',.', family moved.',.',.',.',.',Noneistr brothers.'their's.',.',''':istractor.',istristristractor11111d.',d',.',1 moved_orderanswerquestion certain certain''",Two chefs were making two different foods and they didn't add the spices twice to the same food.,no,"Based on context and semantic similarity, the chosen answer matches the question."
13," A hiker arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why? ",Because ducks can't read.; Because ducks won't polluted water.; Because ducks are tiny to be detected.; None of above.,"':',.',.',':.',.',.', and '1 istr':{'d.',',.', 'oke.

d.',1.',.', were.',(1 moved.', brothers.',.',.', movedactor brother.'their?', family.',''. '",Because ducks can't read.,no,"Based on context and semantic similarity, the chosen answer matches the question."
14,"A hiker lands near a lake. He sees a sign that says ""No swimming allowed,"" yet the duck dives into the water anyhow. Why? ",Because ducks are tiny to be detected.; Because ducks can't read.; Because ducks won't polluted water.; None of above.,",- 'd.',.',':.', above family and':11istr':{'d..',.',': and and.

':.',.',.',.',actor': moved moved.',.',.',.', 'istr brother brother.','same family..','and",Because ducks can't read.,no,"Based on context and semantic similarity, the chosen answer matches the question."
15,"A cat was walking pass a security guard when the guard told him not to enter the area since it was restricted. However, the cat passed the security guard without any sense of obedience.Why?",The cat thought it won't bring danger; Since cats can't understand humans' language; The cat thought it was hard to detect itself.; None of above.,"':{'d..',.',.',..

.

dd.',.',..',id1 moved.', '.',.', married married brotheristr.'their's family':''.-actor.',istristr.',actor by111id married':",Since cats can't understand humans' language,no,"Based on context and semantic similarity, the chosen answer matches the question."
16," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",Home.; The way to the pond.; Pond.; None of above.,"family1,,ure.',dd.',.', above family22  1':dd.actor.', their their and.

d1.',.',.',.',': moved moved.', brother.',.', marriedSomeistr loved.'shares family moved.',",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
17," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",The way to the pond.; Home.; Pond.; None of above.,"actor1  moved 'd.', married':.',.',d and' ':':{'d..',.',': their.

.

d drink brothers.',.actor':1answer.', Brothers.',.',{' marriedanswer':.'favorite family family.',",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
18,"James was taking a test with 31 questions. He answered to 17 questions. Towards the end of the time, he looked onto other people's choices and answered 7 questions that way. He was so lucky that he remembered how to answer another 7 questions as well. Surprisingly, he got 100% in the test. What did he do with the rest of the questions that he got 100?",It is so difficult that he cheated with others.; He didn't know the answer and just guessed them randomly.; He owned a nice relation with the teacher and just asked his teacher.; None of above.,"':, brother brotherSome ‘ examples the the out.',.',.','' 'actoractor.', moved?',.',.',.',.',actor and family'in{'actor1..',':...

.

.',''''' ( '",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
19,"Ten fish are in a tank. Two fish drown. Four fish swim away.Three fish die.
How many fish are left in the tank?",Seven.; Five.; Twenty.; None of above.,".',{'.',',  same the family familyistrd2':': actor1, family': '.',.',.',.',.',d':3 11':orderd.',.',.',': and.

.

,.',.',.',':.',':answer",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
20,A tank contains ten fish. Two fish drown. Four fish are swimming away.Three fish perish. How many fish are there left in the tank?,Seven.; Twenty.; Five.; None of above.,"':',  family the familyid.actor'],':':istr their1 family1 brother '.', married.',.',.', family and' 1{' marriedd.',',.',': by.

.

d.',.',.',_listactor':actorWP.',",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
21,"A chopper had ten pigeons inside and threw all of them out to die. However, there were some tall trees that could've survived them. How many survived?",Eight.; Five.; Three.; None of above.,"loved familyistr12 haveistr  from11 familyure-.',':.',.',', married by',1 ':':{' '22.',d their.

d own brothers brothers.', were':actoranswer move.','' '",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
22," A woman went to Virginia to get a job. She promised her mother she would come back and visit sometime. Then, in the middle of winter, her mother shouted, ""April is here!"". How is this possible? ",The woman's name is April.; Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; None of above.,".',.', and.

.

':actor.',.',.':':': moved.', brothers '.',.', moved'brothers.'their family away.', and''istractoristristristristractor by111.

d2.', haveistr their1",The woman's name is April.,no,"Based on context and semantic similarity, the chosen answer matches the question."
23,"A woman travelled to Virginia to look for work. She promised her mother that she would return someday. Her mother then exclaimed, ""April is here!"" in the dead of winter. What makes this possible? ",Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; The woman's name is April.; None of above.,"marriedd.',.',.',': and and.

d.',.',.',':actor by moved moved.',.', '.',.', moved':actor.','their family moved away and''-actoristristristr byactor -11 and moved':.',",The woman's name is April.,no,"Based on context and semantic similarity, the chosen answer matches the question."
24,"A man was asking somebody where is you?, the man then pointed out to the person asking the question. How's that possible?",The man pointed to some people at random.; The name of the man who was asking the question was You; The man was angry for his impolite question.; None of above.,".', above away by',  1':orderd..',.',':..

d their brothers.',.',.actor31 moved.', brothers.',.',.',Noneistr brothers.'their family family.', 'd andistractor.',?',Noneistr",The name of the man who was asking the question was You,no,"Based on context and semantic similarity, the chosen answer matches the question."
25,"What animal has no wings, but yet will fly?",An elephant.; A caterpillar.; An eagle.; None of above.,"'are some.', by their But':.',':.',d.WP{'.',', their same same1 family1istrdistr':istr family  by moved': '.',.', married.',.', their':,1 ':': marriedd.",A caterpillar.,no,"Based on context and semantic similarity, the chosen answer matches the question."
26,What animal does not have wings but can fly?,An elephant.; An eagle.; A caterpillar.; None of above.,"orderanswer ‘ some.', by by11.':Some2istr.WPactor?',( their their their family married.istrand and': byactor  family, brotherdd get.',.',.',d and3111': marriedd",A caterpillar.,no,"Based on context and semantic similarity, the chosen answer matches the question."
27,What animal does not have legs but can jump?,A fish.; A tadpole.; A rabbit.; None of above.,"'],'arejobquestion their  1.',':':.',.',.',WP.',':('same their1 familyistrd'], each': actor1 by familyNoned.',.',1.', 'd andactor  ':{'.',.",A tadpole.,no,"Based on context and semantic similarity, the chosen answer matches the question."
28,"A logical with some time to kill in a small town decided to get a haircut. The town had only two barber, each with his own shop. The logical glance into one shop and saw that it was extremely until. The barber needed a shave, his clothes were unkempt, and his hair was badly cut. The other shop was extremely neat. The barber was freshly shaved and spotlessly dressed, his hair neatly trimmed. Why did the logical return to the first shop for his haircut?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,".

.', married.','''-''  '.

 'ure 'actor.

':''': But.

 'd,',''':1 brother brother brother'' '.', brothersd?',istristr'brother'and '",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no,"Based on context and semantic similarity, the chosen answer matches the question."
29,"In a small town, a logical with some free time made the decision to get a haircut. There were only two barbers in the town, and they each had a shop. The rational glance into one store revealed that it was incredibly expensive. His clothes were messy, his hair was poorly cut, and the barber needed to shave. The other store was very well-kept. The barber had recently had his hair cut and was immaculately dressed. Why did the logical get his haircut at the first place he went?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,"family a'' married.',.',{'ure '.',d''':Some.','' and from',.','family3 has brother is'' '1 '',?',istristr family brother''.

Some ','' family",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no,"Based on context and semantic similarity, the chosen answer matches the question."
30,"In a remote village, a wise traveler decides to check out local dental implants. There are only two dentists in the village, each with a clinic. Glance at the first clinic and see that the dentist's own teeth are badly planted and his salon is poorly maintained. The second salon is tidy, the dentist's teeth are well planted and his attire is spotless. Why smart travelers choose dental implants in the first clinic?",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.; The traveler chose the first dentist because he believed the untidy appearance suggested that the dentist was so busy.; The traveler went to the first dentist because he felt sympathy for him.; None of above.,"''From.',.1.',.',....

.',':'''' family the.'the.',.',.',ure '.d'''s by daughters''idd', each''1 have brother brother brother''",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.,no,"Based on context and semantic similarity, the chosen answer matches the question."
31,A plane crashed between the border of Canada and America. Where do you bury the survivors?,America.; Canada.; In the middle of America and Canada.; None of above.,"':':':?',1WP.',':':  family family loved familyistrdistr':':  (  family family '-.',.',d.',2d and, 1':':{'d..',.',': by.

.

 and brothers brothers",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
32,A jet crashed near the border between Canada and America. Where do the surviving go to be buried?,Canada.; In the middle of America and Canada.; America.; None of above.,"':.',1WP{'':', their their their lovedactor1dd'],',istrd the moved,-dd.',.',.',.', their and',  ':':{'d...',':oke.

dd1.',.',.',",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
33,We have 5 roosters and each one gives 1 egg per day. How many eggs do we have after a week?,Five.; Thirty-five.; Seven.; None of above.,"{'WPWP.',(, family family]}
 familyistristr.',d',  the1,, '':.',.',':.',.',d and', 1':':ddanswer..',': their.

d':1.',.',.',actor':",None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
34,"Imagine you are in a room, with no doors, windows, or anything. How do you get out?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"WP{'':.', their family the familyWPistristrand': and family family(  moved':':.',.',':.',2d and',  1':.',d..',.',': by.

.

d.',.',.',..',.',answer",Stop imagining.,no,"Based on context and semantic similarity, the chosen answer matches the question."
35,"Assume you're in a room with no doors, windows, or anything else. How do you escape?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,".{'':.',(  same family family familyactoristristr and': theactor( brother,':':':':.',.',WPd':': 1':':{'d...',.', their.

.

':1.',.',.actor':",Stop imagining.,no,"Based on context and semantic similarity, the chosen answer matches the question."
36,You're dreaming that you're in a jungle in which a tiger is approaching you. What's the best thing to do in that situation?,Fight with the tiger.; Jump over it.; Waking up.; None of above.,"their family marriedistractord and':istr family family, moved':':.',.',.', above.', away and'' ':': marriedd..',.',':. and.

d1.',.',_list{'-actor moved '.',.',.',.',",Waking up.,no,"Based on context and semantic similarity, the chosen answer matches the question."
37,"I buried a stone in the ground, and it grew and produced fruit. How is this possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; None of above.","answerd.',.',istr '1_orderanswerSome butanswer.','given.',.', ''sistractoractoractord1?',':.',.',.', brother 'istr 'istr{'.',.',d.',.',':':1 '.',.', brothers''","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
38,"I planted a stone, and it sprouted leaves and fruit. How is that even possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; None of above.",".

 given':d0istractor1  brotherC answer the byd?',.',.',.

istr'' movedactor1?',':.',.',.',10 and brothers 'istr{'{'d1actord':..

.

.', '': '","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
39,"Two farmers got into a heated argument and started fighting. A farmer was so enraged that he threw a handful of stones at the other farmer. The stones hit the farmer exactly, but the other farmer received no harm at all.  Why?","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.; The other farmer was wearing protective clothing or had some form of shield that prevented the stones from causing harm.; The stones were small or lacked enough force to cause any significant injury.; None of above.","2actor.',istristristrSome1111.

d,d {'11  sameSome istranswer the the family.',.',, 'actor 'actor'family.',.',.',.',.',1dactor '6{'.',figure","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
40,How many birth days does the average person have?,"People may celebrate their birthdays annually, so it depends on their life span.; They technically only have one birth day in their lifetime.; It can be zero as some people are too busy to celebrating their birthdays.; None of above.","( moved':':.',d':?', aboved and':1 ':': ‘d.',.',':':.

d '1.',.',actoractor{'actor family.', brothers.',.', 'unchansweristr.'their family family.', '",They technically only have one birth day in their lifetime.,no,"Based on context and semantic similarity, the chosen answer matches the question."
41,How many birth days do most people have on average?,"People may celebrate their birthdays annually, so it depends on their life span.; It can be zero as some people are too busy to celebrating their birthdays.; They technically only have one birth day in their lifetime.; None of above.",",--- married'married daughters questiondd,  1': moved.',.',2.',order':.

.

': brothers.',.',.',actoranswer': moved.',.', brother loved.', movedistractor. shares shares family family.':.',",They technically only have one birth day in their lifetime.,no,"Based on context and semantic similarity, the chosen answer matches the question."
42,"From elementary school to collage, how many ""first day of school"" does the average person have in their lifetime?","Average poeple have 4: lementary school, middle school, high school, and college.; They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.; Average people have ""first day of school"" in each semester, so it will be more than 10!; None of above.","moved'away  family''''-actoristractoristractoractor 111.

,  and andistr their1 But]}
  examples 'answerd daughteractor.', the''actor.',actor '?',1':.',",They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.,no,"Based on context and semantic similarity, the chosen answer matches the question."
43,An electric train is going south at 98 mph. The wind is blowing northeast. Which direction is the smoke blowing?," Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; There is no smoke. it's an electric train!; None of above.","istr.', byactoractor 1  family.

,',.','have':1SomeSomeCanswerquestionanswer1'the.',.','' 'actoractor '1.',': to.','family and brother 'istruns{'(..',",There is no smoke. it's an electric train!,no,"Based on context and semantic similarity, the chosen answer matches the question."
44,"At 98 mph, an electric train is traveling south. There is a northeast wind. Where is the smoke coming from?","There is no smoke. it's an electric train!;  Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; None of above.","actoractoractoractor 111.

,d', istr.',1_order brother]}
 answeranswer1d.', '.',''''actor moved family?',1.',.','family and brother''{'.',1..',.',",There is no smoke. it's an electric train!,no,"Based on context and semantic similarity, the chosen answer matches the question."
45,A submarine is moving west at a speed of 30 knots. There is a strong current moving east. Where are the trail of bubbles coming from?,"The current is moving east, the bubbles would be carried by the current towards the west.; The submarine is moving west, the bubbles would be carried in the direction opposite to the current.; There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.; None of above.","brothers.',.',.',1 areactor.'their's family':'' and 'actoristristrchoice sameactor1 1.

.

,dd 1':1  same]}
 but.

 the '.',?', family.',,'' '",There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.,no,"Based on context and semantic similarity, the chosen answer matches the question."
46,"There is a pink single-story house and everything in it is pink. The doors are pink, the windows are pink and the top is pink. What color are the stairs?",There are no stairs in a single story house.; It should be pink as the whole house is in pink.; The stairs is uncolored as people always step on that.; None of above.,"..',.',': and.

d':1 brothers.',.',actor':actor moved.', '.',.', married married0 moved their'their family away':'' and notactoristristristristractor0111.

dd.', and1",There are no stairs in a single story house.,no,"Based on context and semantic similarity, the chosen answer matches the question."
47,"The entire single-story home is pink, including the outside. The windows, the top, and the doors are all pink. What are the stair's colors?",The stairs is uncolored as people always step on that.; It should be pink as the whole house is in pink.; There are no stairs in a single story house.; None of above.,"':{'dd',.', '.',.

.

 their brothers..',.',{'actoractor movedactor '.',.',.',None brothersactor'' their'away':'' 'dactor.',.',istractoractor 1111d2",There are no stairs in a single story house.,no,"Based on context and semantic similarity, the chosen answer matches the question."
48,"A one-story house is built from red bricks. The doors, windows, and roof are all made of red bricks. What color is the basement?",There is no basement in a one-story house built on a single floor.; It should be red as the whole house is in red.; The basement is uncolored as the basement is only used for storing stuffs.; None of above.,"and.

 '':)': brothers.',':':': movedactor.', brother.',.', 'unchC brothers,'favorite's. '':d''istr.',.',istractoractor1-11.

':,.',',?',':,': brother",There is no basement in a one-story house built on a single floor.,no,"Based on context and semantic similarity, the chosen answer matches the question."
49,"Ten pears hanging high, Ten men come passing by, Each took a pear and left nine hanging there. How could that be?",EACH is the name of one of the men.; Other men can't reach the pear.; Other men didn't see the pear.; None of above.,",':d.', married.',22 family and' d':{'d. '.',': by.

d':.',.',.',{'':3 married moved.',': '.','movedWP '.'favorite'family': 'd '",EACH is the name of one of the men.,no,"Based on context and semantic similarity, the chosen answer matches the question."
50,"Ten pears hung high, ten men passed past, Each taking a fruit and leaving nine hanging there. How is that possible?",Other men can't reach the pear.; Other men didn't see the pear.; EACH is the name of one of the men.; None of above.,"family family--.', married.',.', daughterd': '1':1':dd..',.',': their.

.

':1.',.',actoractoractor1 moved.',.', '.','moved is brother..', their family family'' '",EACH is the name of one of the men.,no,"Based on context and semantic similarity, the chosen answer matches the question."
51,"There were twenty boys with different names in the classroom, All went up to the blackboard and wrote names on the board, however, there was only one name on the board, how's that possible?",Other boys don't have names.; All is the name of one of the boys.; Other boys don't know how to write.; None of above.,"': married.',d2.',actor by.

.

 and1.',.',.',':':actor moved.', '.',.', family1What131. their their's.',':'' and-actoristristristractoractor1 11.

dd",All is the name of one of the boys.,no,"Based on context and semantic similarity, the chosen answer matches the question."
52,"The more you take, the more you leave behind",Love.; Footsteps.; Money.; None of above.,". get 'ure are some.', same their11.': loved': daughter{'.',{'':.', their family their loved the.istr.','],istr d family, family marriedd.',.',.',2 awaydd', 11 married",Footsteps.,no,"Based on context and semantic similarity, the chosen answer matches the question."
53,"The more you take, the more you abandon.",Love.; Footsteps.; Money.; None of above.,"''ure.','are ‘.', their their.',1.',.',':.',.',3{'':', their family their family same1istr'], each andistr11d moved 'd.',.',.',.',.',d and',  1",Footsteps.,no,"Based on context and semantic similarity, the chosen answer matches the question."
54,You are running so fast but you're not getting closer. Where are you?,Country road.; Treadmill.; High way.; None of above.,"by1Byactoranswer':.',didWP{'':.',, same the family11dd'], haveistr not1 family-':':.',.',':.', familyd and3  ':':orderd...',oke their and",Treadmill.,no,"Based on context and semantic similarity, the chosen answer matches the question."
55,What type of bank doesn't hold money?,Snowbank.; Investment bank.; Central bank.; None of above.,"'ownactor 'actor some.', their   by.': loved.',.',,WP{'':.','s the family familyistristristristr': by family   moved''d.',.',.',.',d and' 1':",Snowbank.,no,"Based on context and semantic similarity, the chosen answer matches the question."
56,What kind of bank doesn't keep cash on hand?,Snowbank.; Investment bank.; Central bank.; None of above.,".','areSome.', by their?',.',.':':0?',1WP{'':', their family the family.',istr by2d':istrd  family-': '.', married.',.', aboved and, [11':d '",Snowbank.,no,"Based on context and semantic similarity, the chosen answer matches the question."
57,What kind of bank doesn't have money on hand?,Riverbank.; Investment bank.; Central bank.; None of above.,"own'‘ ‘.', a theirBy.',1.',.',.',?',.WPWP':( the':.Nonedistrd'],'],istr  ,,-',.',.',.',.', and', and'11': married.",Riverbank.,no,"Based on context and semantic similarity, the chosen answer matches the question."
58,What type of root can't be eaten?,Carrot root.; Cabbage root.; Square root.; None of above.,".','‘question.', one  1 their': loved':.',0.',{'':( theiristr the family family1d'],',':istractor d moved '-.', marriedd.',.',d and':  ':':order.',",Square root.,no,"Based on context and semantic similarity, the chosen answer matches the question."
59,What kind of root cannot be consumed?,Square root.; Carrot root.; Cabbage root.; None of above.,"are.',urechoice answer.', their their11.':.',.',.',?',{'.',':( theistr brother1 familyactorWPistr',': loved the ( by moved-d.',.',None.',2 married and,,1':{'",Square root.,no,"Based on context and semantic similarity, the chosen answer matches the question."
60,What sort of root should one not eat?,Cube root.; Cabbage root.; Carrot root.; None of above.,"actor lab ‘Somequestion their their1':1answer brother.',d0WP{'':', own family their1 married1d3':':  the ( family1''d.',.',.', aboved and',1 ':':orderd",Cube root.,no,"Based on context and semantic similarity, the chosen answer matches the question."
61,What kind of mouse can't you feed cheese to?,A computer mouse.; A hungry mouse.; An old mouse.; None of above.,"Some.',  their1':':Some loved':d.',{'{'':.',, family their1actor11istristr':actor  the brother-''WP.',.',.', aboved andd 1':':{'d. above':",A computer mouse.,no,"Based on context and semantic similarity, the chosen answer matches the question."
62,What type of mouse are ineligible for cheese feeding?,A computer mouse.; A hungry mouse.; An old mouse.; None of above.,"‘answer.',  same12.':':':6,WP.',':':  same same family familyistristr'], have haveistrd by, family'['WP.',.',.',2 and':':  :
': movedd..",A computer mouse.,no,"Based on context and semantic similarity, the chosen answer matches the question."
63,The kind of mouse engineers like most？,A young mouse.; A white mouse.; A computer mouse.; None of above.,"'ure ‘ some?',.', by 1':.',':':d4.',{'':.',{' familyactor loved familyactord.',':.',(d (( family '',d.',.',.',.', married and' ':':.',d",A computer mouse.,no,"Based on context and semantic similarity, the chosen answer matches the question."
64,What kind of plant can't photosynthesize?,An indoor plant.; A house plant; A power plant.; None of above.,"choice somequestion.', their by.',':':answer2?',,WP{'':.', their family family1 married1d'],':istr11 family by moved '',.',':':.', above their by3 1':':.',d..",A power plant.,no,"Based on context and semantic similarity, the chosen answer matches the question."
65,Which plants are incapable of photosynthesizing?,A house plant; A power plant.; An indoor plant.; None of above.,"actorSome.', by their by1..',.',2actor1WP{'':.', their their their family familyistractor.',2actor1 of family  movedd '.',.',.',.',?',d',' ':':.',d..",A power plant.,no,"Based on context and semantic similarity, the chosen answer matches the question."
66,What plants can not photosyntheszie but can produce energy.,A wetland plant.; A nuclear plant.; An aquatic plant.; None of above.,"their11 loved':':.',.',1{'{'':{' their family brother loved1actor only2 '':  family ( family family '':.',.', married.',.',d and',  1':orderd...',':actor.",A nuclear plant.,no,"Based on context and semantic similarity, the chosen answer matches the question."
67,What kind of wood never gets chopped?,Softwood.; Hollywood.; Hardwood.; None of above.,"'''are.','‘ 'question by by  loved':.', loved':istr.',{'{'.',',, shares theactor familyistrdandistristristr (  family-':''.',':.', married and and,1",Hollywood.,no,"Based on context and semantic similarity, the chosen answer matches the question."
68,What sort of wood is never cut?,Hollywood.; Hardwood.; Softwood.; None of above.,"'''' own'‘ ‘.',.',  order1actorC2.',1WPWP':', ownistr family family familyistrdistr'],': lovedactor family, family''.',.',1.', daughterd and-",Hollywood.,no,"Based on context and semantic similarity, the chosen answer matches the question."
69,What sort of wood is never cut?,Hardwood.; Sherwood.; Softwood.; None of above.,"''.',.',actor ‘ some.',.', their1':':.',.',2.',1{'{'':.',  family the family familyactoristrd',': by 1 brother moved':':.',.',':.',.',': and '111",Sherwood.,no,"Based on context and semantic similarity, the chosen answer matches the question."
70,What type of dish doesn't hold food?,A satellite dish.; A fish dish.; A side dish.; None of above.,"'are somequestion their same111': loved.',same1WP{'':( their same family family marriedistrdistr':':, the ( family the-d.',.',':.', aboved and3 11idorder.answer",A satellite dish.,no,"Based on context and semantic similarity, the chosen answer matches the question."
71,What kind of dish cannot accommodate food?,A satellite dish.; A fish dish.; A side dish.; None of above.,"actorchoice ‘ lab.', ones their?',1.':Some':.',3WP{'.',( their family familyactor familyactor and2d':     family-':d.',.', daughters aboved and' ]}
': marriedd",A satellite dish.,no,"Based on context and semantic similarity, the chosen answer matches the question."
