Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct,Explanation
SP-194," A hiker arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why? ",Because ducks can't read.; Because ducks won't polluted water.; Because ducks are tiny to be detected.; None of above.,"away brothers family away,'' 'd1 brother '.',': family': away,1'brothers daughters brother brother family2 'd.',':': and brothers.',.',':'' family'' '': were{' ','family ': family'family brothers''':actor brother'[1'family':.', '.', drink 'C':1'''.',.',.',.',.',':''istr':':': notactor 'unchistr '':unchistr '",None of above.,Because ducks can't read.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-194_SR,"A hiker lands near a lake. He sees a sign that says ""No swimming allowed,"" yet the duck dives into the water anyhow. Why? ",Because ducks are tiny to be detected.; Because ducks can't read.; Because ducks won't polluted water.; None of above.,"': the brother and daughters family to':.', daughter, '.0': are brother family daughter '': brother': brothersd family. and':'family.',':':'''''''' None''''.',.',''':'''family.',istr':''  brother.',?','''' '. familyactor':':, 'd '., and'''''''' andactor'''' of': '",None of above.,Because ducks can't read.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-194_CR,"A cat was walking pass a security guard when the guard told him not to enter the area since it was restricted. However, the cat passed the security guard without any sense of obedience.Why?",The cat thought it won't bring danger; Since cats can't understand humans' language; The cat thought it was hard to detect itself.; None of above.,"istr,':.', family'family'' family 'istr.', brothers': family'',. 'None.','''''' '1 '':':'' '':'' '': ''''': '.', '':''''':':0''''.',': ':
1''':':'away '.', '.',''':': daughters''ure': '': '':':,':'',d '':",None of above.,Since cats can't understand humans' language,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-195," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",Home.; The way to the pond.; Pond.; None of above.,". ': brother brothers family,istr':2 family daughters family haveistr are each.',0d the daughters, have daughters':':':1 family brother family brotherd  family':d': brother have family0 daughter,':.', brother':':istr brother ','' and '': '.','' '.',': '':':'' '':.',.',.', '.',': '':''': 'unch.','' daughter''''' 'unch':':",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-195_SR," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",The way to the pond.; Home.; Pond.; None of above.,"shares.',id ':,d':istr get2 and daughters loved.',':actor familyid':.',':'familyistr1 '.', brother ',.',istr':,':istr': 'd':.',''2'and.',d,'''not ', '':istr''''':1 '2''1 away'away.',': 'unch':''''''id'''' ',': '':idactoristr':",Home.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-195_CR,"James was taking a test with 31 questions. He answered to 17 questions. Towards the end of the time, he looked onto other people's choices and answered 7 questions that way. He was so lucky that he remembered how to answer another 7 questions as well. Surprisingly, he got 100% in the test. What did he do with the rest of the questions that he got 100?",It is so difficult that he cheated with others.; He didn't know the answer and just guessed them randomly.; He owned a nice relation with the teacher and just asked his teacher.; None of above.,"'' 'actor '': '':'and  '':istractor01'married''2.':':''''':': '{'1 '1'' '':':''':':istr''':''':' '': '.',':''''unch''  'actor '1'' ''''actor '.',':':istr''1ure '':1'''' 'actord''",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-196,"Ten fish are in a tank. Two fish drown. Four fish swim away.Three fish die.
How many fish are left in the tank?",Seven.; Five.; Twenty.; None of above.,"': brother  and each brother '.',istr.',?','the'family ', aid.',1 married.',.','the '.', brothers  the':' family 1': awayididureure,, daughters '':':. ', '':''1''''actor.',':'' daughter''ure0'', '':ure.',''ure 'unch'''''''':'' daughters  brother ''",Seven.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-196_SR,A tank contains ten fish. Two fish drown. Four fish are swimming away.Three fish perish. How many fish are there left in the tank?,Seven.; Twenty.; Five.; None of above.,"'1 familyistr':.',':'moved   each.','family':.',': brother daughter answer above':.',.','brother':''d':'' family0''actor':': '.',ure' married brother.', brother.',.','away'brother':''.',istr.',.', brothers''':unch''actorunch''':.', brother'''brother '':actor0None1Noneactor'away':  brother'''''",Seven.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-196_CR,"A chopper had ten pigeons inside and threw all of them out to die. However, there were some tall trees that could've survived them. How many survived?",Eight.; Five.; Three.; None of above.,"someistr daughter brother the.',.', own.2.  daughter.',':.', to.',id,.',.',':'daughters1 family owndactor some'and family ''''actoristr '':.', family'and':':':.', '':':':':':''''''':':': brothers 'istr '':''.'',actor ', '.', '':'brother''':''1''''.',.',",Three.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-197," A woman went to Virginia to get a job. She promised her mother she would come back and visit sometime. Then, in the middle of winter, her mother shouted, ""April is here!"". How is this possible? ",The woman's name is April.; Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; None of above.,"'',,':': '..',': brothers''  daughters '1 'istr '':''':'' '1 'ureistr '':':':''actor.',':':unch '': 'actor''':actor.',ure andistr '': '1'',' '':': 'istractor.',.', daughters':.', '':':,1 daughtersNone daughters daughters.','daughters''':''.', ['.',':{'':unch daughters '",None of above.,The woman's name is April.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-197_SR,"A woman travelled to Virginia to look for work. She promised her mother that she would return someday. Her mother then exclaimed, ""April is here!"" in the dead of winter. What makes this possible? ",Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; The woman's name is April.; None of above.,".',':istr, '.',1''': familyistr':istr.', family':.', and away': brother daughter.',.', '':':istr':':':'actor away.','and 'd':'not':. not'' and''''':.',''  '':':,istr'' '.',':':''1.':''''''unch'','''' '.',istr''':''':''",None of above.,The woman's name is April.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-197_CR,"A man was asking somebody where is you?, the man then pointed out to the person asking the question. How's that possible?",The man pointed to some people at random.; The name of the man who was asking the question was You; The man was angry for his impolite question.; None of above.,"dddistr daughteristr':.',':istr':istractor':.',. areistractor': brother '.',': brotherd '':.', daughters': brothers ''.',.','and 'istr.','daughter family''.',':.',.',':': daughter brother': brother '.',.','familyd'brother':': '.', daughter '''''''. '1'''''' ',d.',': '': '': away '",None of above.,The name of the man who was asking the question was You,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-198,"What animal has no wings, but yet will fly?",An elephant.; A caterpillar.; An eagle.; None of above.,"have the'istr one to and'id brother': one0 '. and':0 brother.',?',.', and loved'''',id brother choices brother family tod,actor.',.', brother': daughters '.istr.',istristrd''': '':': family family':.', brother1 '':.',.',''''  '': awayistristr.','''''' '': 'actor '.','''''' not.',",None of above.,A caterpillar.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-198_SR,What animal does not have wings but can fly?,An elephant.; An eagle.; A caterpillar.; None of above.,"Some': to daughter own some  brother'' ', daughter'' daughters daughtersd daughters'' choicesactor and ',d get'their0'away family':'' family brother' 'istr'not': brothers  awayistr own 'the'' away'family '.'''' and family''1''1 theactor': ','' '':'' '':.', '': '':.',': 'unch':':.',.',':",None of above.,A caterpillar.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-198_CR,What animal does not have legs but can jump?,A fish.; A tadpole.; A rabbit.; None of above.,"daughteractor': and.',.', daughters':': eachistr family bySome get notdquestionid2actoridid brother'':,0 and''0 the daughters.',': brother':'brother own,':id':questionidSome lovedid.',':,'[ 1 awayidistr.', away and.',.',':.', brothers': '':'' '': '': ', 'actor':.',':.',?',':'' '.',ure'away  ',.', '",None of above.,A tadpole.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-199,"A logical with some time to kill in a small town decided to get a haircut. The town had only two barber, each with his own shop. The logical glance into one shop and saw that it was extremely until. The barber needed a shave, his clothes were unkempt, and his hair was badly cut. The other shop was extremely neat. The barber was freshly shaved and spotlessly dressed, his hair neatly trimmed. Why did the logical return to the first shop for his haircut?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,"'.''d'not':,'the'' ''': '': 'd '':''':'' 'istr':.','''''''''' 'd''': family'and''''''':'''' and''':':'' '':'', ':''':':'' '':'' '.',':d'''' '':''':''",None of above.,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-199_SR,"In a small town, a logical with some free time made the decision to get a haircut. There were only two barbers in the town, and they each had a shop. The rational glance into one store revealed that it was incredibly expensive. His clothes were messy, his hair was poorly cut, and the barber needed to shave. The other store was very well-kept. The barber had recently had his hair cut and was immaculately dressed. Why did the logical get his haircut at the first place he went?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,"20'''''','''' '':''id'away'awayistr':':': 'actor'''', 'istr''2':'''''''':''':': '0'' 'ure.','' 'unch' 'unch ''''istrunchunch 'unch'away'ure':ure'' 'istr,'brothers '':.',.',':'married0 '",None of above.,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-199_CR,"In a remote village, a wise traveler decides to check out local dental implants. There are only two dentists in the village, each with a clinic. Glance at the first clinic and see that the dentist's own teeth are badly planted and his salon is poorly maintained. The second salon is tidy, the dentist's teeth are well planted and his attire is spotless. Why smart travelers choose dental implants in the first clinic?",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.; The traveler chose the first dentist because he believed the untidy appearance suggested that the dentist was so busy.; The traveler went to the first dentist because he felt sympathy for him.; None of above.,"istractor '':'the''.','daughter'''''' '': '.',':''  the': ',idd '1'' '1':'''', '1,''''''id''':istr':':'''''': 'istr': 'actoractor':.',':'':':actor 'ure '':'and'' daughters'''''''' '': '",None of above.,Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-200,A plane crashed between the border of Canada and America. Where do you bury the survivors?,America.; Canada.; In the middle of America and Canada.; None of above.,"and answer'the.',' tod daughters daughters daughter have brother,1 and.', and and':': family,.',.', istr '':': brothers.', daughters family1, brothers'family 'choice the': family0': '':':': '.', brother'' and daughters ',id.',.','brother.', family.':'and'' 'd1':.',.',':id.',.',':1 'istr''.', and''unch.','' and  '",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-200_SR,A jet crashed near the border between Canada and America. Where do the surviving go to be buried?,Canada.; In the middle of America and Canada.; America.; None of above.,"each.','daughters': family answer  family daughter'the-,..', ', a'and.,id's  to their. are1': and.',  'istr.', answer 'actor'the,Some'and': brothers awayactor':.',.', family': '':':{'':'daughteristr family'and family '':'', '':':': daughter '': '':.',':':''''''1'''' '': '",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-200_CR,We have 5 roosters and each one gives 1 egg per day. How many eggs do we have after a week?,Five.; Thirty-five.; Seven.; None of above.,"brothers brother'answer each same':.',': and family.',,d. family are':  each. brother ''11.','family '',Some'and 'istridd'the the family family.',.'and''1 and and '1'' '-'and':':{'actoristr ', familyunch'''''''':':'''' thed''..','''' '",Seven.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-201,"Imagine you are in a room, with no doors, windows, or anything. How do you get out?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"family'andactor'and of':': same, a and family'family'' brother not':.', brother family same': the and daughter shares  notistr married,.istrchoiceistr':'' away and family'''' ':{'''':'' and''':' '''family':'''' '.', '':':.',.',':''.',':''11 'unchactor '.', brother daughters 'ure '",None of above.,Stop imagining.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-201_SR,"Assume you're in a room with no doors, windows, or anything else. How do you escape?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"' brother family'' family': '':istr daughters': family, choice '.,d':'' daughterd'' brothers '1'the'were''1'' ''':'' family''''  'unch'' ':''''istr'and and'' '. ','''' 'id''''id.','''''''' 'unch.','''' '",None of above.,Stop imagining.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-201_CR,You're dreaming that you're in a jungle in which a tiger is approaching you. What's the best thing to do in that situation?,Fight with the tiger.; Jump over it.; Waking up.; None of above.,"'daughters to'and 'd the,istr daughter,.d are thed.'away brother and family0.', brother'wereistr brother,idd.',.', own '': '0 ',dactor'brother 'd '':'' 'istr':''''d'':':''''':.',':.',.',':''': brother':''''ure '.':,2d''.','''' '",None of above.,Waking up.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-202,"I buried a stone in the ground, and it grew and produced fruit. How is this possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; None of above.","{',':1':''':':.','by.',''d''1istr'and''': aboveure'' '1 '0actor daughters'''daughters'' away':'',istr''': 'unch.','' not,': '':istristr'' away'':
 'actor '':istr'' ''' away'' ure'away':':1':unch 'actoristr' '",None of above.,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-202_SR,"I planted a stone, and it sprouted leaves and fruit. How is that even possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; None of above.","'2''''2':,, 'daughters '': 'actor''' lovedistr and''':'''' and'''and0'away' brother''not '':':.',''''''''' '1{'istr''': '':'''': '':'''''' 'd marriedactor1 2''.': '1actor 'd",None of above.,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-202_CR,"Two farmers got into a heated argument and started fighting. A farmer was so enraged that he threw a handful of stones at the other farmer. The stones hit the farmer exactly, but the other farmer received no harm at all.  Why?","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.; The other farmer was wearing protective clothing or had some form of shield that prevented the stones from causing harm.; The stones were small or lacked enough force to cause any significant injury.; None of above.","istr'not.',''' '':'1''': '': 'unch family'' and':':.',.',':':.','' '': '': brother '':.', 'ure '': [''' '': '':':'theunch''' 'actor 'unch not'':'' ''': awayistr '':''': 'actor, 1 '':''':''d':'' '",None of above.,"The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.",no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-203,How many birth days does the average person have?,"People may celebrate their birthdays annually, so it depends on their life span.; They technically only have one birth day in their lifetime.; It can be zero as some people are too busy to celebrating their birthdays.; None of above.","moved. family are.',id0'' '': given':':': '.',d'familyd are':  family are and brother'family1istr'isddistr daughter1'family and brother thed own.''.', 'istr':':'are':.',':':. '1 ',.',istristr,'''','',0 '':': '':''''': '1 '':''0 'unch '':",None of above.,They technically only have one birth day in their lifetime.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-203_SR,How many birth days do most people have on average?,"People may celebrate their birthdays annually, so it depends on their life span.; It can be zero as some people are too busy to celebrating their birthdays.; They technically only have one birth day in their lifetime.; None of above.","the the and''id  answer  each the'and'someistr'answer- answeridactor same 'actor.actor '., '. and.'family''id''.',.',.', family' '':actor '':': '': are eachistr family 'family'and': '.', '':d':'' ''''and'' ',':':''  '': family'' '': brother '.':",They technically only have one birth day in their lifetime.,They technically only have one birth day in their lifetime.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-203_CR,"From elementary school to collage, how many ""first day of school"" does the average person have in their lifetime?","Average poeple have 4: lementary school, middle school, high school, and college.; They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.; Average people have ""first day of school"" in each semester, so it will be more than 10!; None of above.","daughters.',''''.',actor ',''.', '': '':.', brother.',.', '':.',.', '.',':''.',':'' away '':0'''brother'away away':''  ','''''''''' 'unch'''''''''''' not'away'the''''':'''',''actor away'' not '",None of above.,They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-204,An electric train is going south at 98 mph. The wind is blowing northeast. Which direction is the smoke blowing?," Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; There is no smoke. it's an electric train!; None of above.","'': ',''': '1 ''unch.',actor '':': 'd '1Some away 'unch.', marriedactor0 daughters '':':''0.',1actoractor?', away daughterunchunchunchunch.',':.', daughters': 'istrSome away0''':1 'istr brother '': brother 'unch'''''' ',':'' istristr''' '':istr''''ure 'unch.',ure",None of above.,There is no smoke. it's an electric train!,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-204_SR,"At 98 mph, an electric train is traveling south. There is a northeast wind. Where is the smoke coming from?","There is no smoke. it's an electric train!;  Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; None of above.","''2{'ure and.',0':'' ', '':id':'' away'and istr0 '1 '.', ', ':':.',ure 'ure':': ',.','' ' '':ure 'istr''- '':'' 'unch ','', '{'.',unch'' ','' '1'' '':1 '':''':ureistrure.',':.',': '",None of above.,There is no smoke. it's an electric train!,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-204_CR,A submarine is moving west at a speed of 30 knots. There is a strong current moving east. Where are the trail of bubbles coming from?,"The current is moving east, the bubbles would be carried by the current towards the west.; The submarine is moving west, the bubbles would be carried in the direction opposite to the current.; There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.; None of above.","':''.',':1ure.', brother': '.', away '.', '.', ',':':''1 '{'id''''''':'' '.',{''' 'ure 'unch':Some': andure '':WP':'''' [istr':istr away''1 'istr'away 'Noneunch brothers''1actor '': '.',unch{',''{''''' 'unchunch':istr.', '",None of above.,There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-206,"There is a pink single-story house and everything in it is pink. The doors are pink, the windows are pink and the top is pink. What color are the stairs?",There are no stairs in a single story house.; It should be pink as the whole house is in pink.; The stairs is uncolored as people always step on that.; None of above.,"idid daughters the''' family'' not':,actor and2 and':.', brothers family '':.',actoristractor ', '':':''':''':''.','''' '':'' and.',d'' '':'' the ','''' ',''':'',': '1 daughtersunch':'' '.', '{''''', ': '0 'unch'away '",None of above.,There are no stairs in a single story house.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-206_SR,"The entire single-story home is pink, including the outside. The windows, the top, and the doors are all pink. What are the stair's colors?",The stairs is uncolored as people always step on that.; It should be pink as the whole house is in pink.; There are no stairs in a single story house.; None of above.,"daughter moved away'' 'were':'brother '':  '':.','away moved': and':''''''':1''''''.', '':''': '':' '':':''.',istr familyactor '':istr '':''istr'''' 'actor'' {' daughterure''istr '1.',.',.','wereure': 'actoractor':,.', married married'",None of above.,There are no stairs in a single story house.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-206_CR,"A one-story house is built from red bricks. The doors, windows, and roof are all made of red bricks. What color is the basement?",There is no basement in a one-story house built on a single floor.; It should be red as the whole house is in red.; The basement is uncolored as the basement is only used for storing stuffs.; None of above.,"choices':.', the.', answer':':istr.',.',':'' get.',':'''': brother'' d'daughter daughters': daughters  brother awayactor':'brotheractor '':.',d.',':':0actor ownactoractor.',istractor':2 'unch'':1.',''.', '.',ureure'' '':':''away above'' ',.',''''istr 'actoractor.', [' 'actorunch",None of above.,There is no basement in a one-story house built on a single floor.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-207,"Ten pears hanging high, Ten men come passing by, Each took a pear and left nine hanging there. How could that be?",EACH is the name of one of the men.; Other men can't reach the pear.; Other men didn't see the pear.; None of above.,".', answerd have each answer': '': familyd daughters family'andSome':.', family and'' andactor to 'actor andansweristrSome choices and answer. the are':.',':'', daughterSome'get''. theistr daughter': '-,': given.',istr daughter'''' not'' family'' away'''the''''':': '2':': 'istr''.','''' family'by '",EACH is the name of one of the men.,EACH is the name of one of the men.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-207_SR,"Ten pears hung high, ten men passed past, Each taking a fruit and leaving nine hanging there. How is that possible?",Other men can't reach the pear.; Other men didn't see the pear.; EACH is the name of one of the men.; None of above.,"1d thed '1 family family': brother':''istr': family.',.',istr.',d family':.',istr.',actor': familyd': and '1 '':': daughter''':': '.':'and':d family'''brother 'danswer':choice 'answer':.',':.',':istristr.',': brother'':id '':'''' '. family':': not'not'''the.','dNone.', '",EACH is the name of one of the men.,EACH is the name of one of the men.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-207_CR,"There were twenty boys with different names in the classroom, All went up to the blackboard and wrote names on the board, however, there was only one name on the board, how's that possible?",Other boys don't have names.; All is the name of one of the boys.; Other boys don't know how to write.; None of above.,".',.', family family family'brother brothers brother brother'' and brothersactor brother 'istr' '1'''''' brother''''istr'''['''''''''':.',.','away'''''' '.'['''''',''':':''{'':.',''  brother':'id'' '0 '':.', '': '",All is the name of one of the boys.,All is the name of one of the boys.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
