Question ID,Question,Answer,Choices,Generated Zero-Shot,Generated Zero-Shot Correct,Generated Few-Shot,Generated Few-Shot Correct
SP-193_SR,Both persons who were playing chess won. What caused this to happen?,They were playing against other opponents.,"They were playing against other opponents., The both lose, in fact, which is also both won., The referee is new and doesn't know the chess rules., None of above.","They were playing against other opponents.':'sistr by family there the have some-actoractor theistr possible one', answersistr same eachactoristr the answers given're but to the the to2  the get has1':istr answer 'istr it and'answersistr the '",False,"They were playing against other opponents.Eachd': family sameistr brothersactorchoiceard own get some- answeranswer': loved answers brother and daughters andchoice thereistr bySomeoke possible not their're gotistristr's,istr, movedactoristrchoiceoke.',istristristr,",False
SP-193_CR,"Two chefs were making food, at some points both poured a salt and pepper into their food, however the food wasn't too spicy afterall when customers were eating it. How's that possible?",Two chefs were making two different foods and they didn't add the spices twice to the same food.,"The salt and pepper are  expired., Two chefs were making two different foods and they didn't add the spices twice to the same food., All customers were polite and didn't tell them in public., None of above.",Two chefs were making two different foods and they didn't add the spices twice to the same food. toistr given but':1'lookactor get the..'got haveistr. family the answers the answers answer answers the 'istr one's.- answer': eachistr not by're '. you the. possible own.' the the other,False,"Two chefs were making two different foods and they didn't add the spices twice to the same food. by':. oneistr theactor other.actor answers''istr the look.'re the family a got have given each model':'re'' the a the'traininganswer the- theactor there', answer '- the to get the possible",False
SP-194," A hiker arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why? ",Because ducks can't read.,"Because ducks can't read., Because ducks won't polluted water., Because ducks are tiny to be detected., None of above.","Because ducks can't read. given': and youistr oneactor by and got1 each- answer out's were have someactor the look family possible': and answers the not answer','the're's the '., the'to get and answer the their same the other",False,Because ducks can't read.': andactor some answersistr get. ''s haveactor'and- areistr got're': familyactor one ownanswer otheractor's1 possible in answers were by given'''' '3istristr':actor'' 'istr's,False
SP-194_SR,"A hiker lands near a lake. He sees a sign that says ""No swimming allowed,"" yet the duck dives into the water anyhow. Why? ",Because ducks can't read.,"Because ducks are tiny to be detected., Because ducks can't read., Because ducks won't polluted water., None of above.","Because ducks can't read.istr given': same answers.istristr each and1actor family isactor it you possibleistr have were got  the get other there by,'s', some but correct and theanswer The- the': theistr the '. examplesistr answer own",False,Because ducks can't read.istr byactor's the and-': answers the look have'and're trainingistr':'get some own answers'''sd possible '. family oneanswer'the in were given'a0 to there answers theistr notoke1 choice,False
SP-194_CR,"A cat was walking pass a security guard when the guard told him not to enter the area since it was restricted. However, the cat passed the security guard without any sense of obedience.Why?",Since cats can't understand humans' language,"The cat thought it won't bring danger, Since cats can't understand humans' language, The cat thought it was hard to detect itself., None of above.","Since cats can't understand humans' language's 'istr some were. possible and. the':- one answers'their given The butactoristr1 family to the're haveactor': and'out has'there training'in',..actor'you'' theistr each the",False,Since cats can't understand humans' language each's': theistr andanswer answers':actor by got given'the're'to a were the model-1 the'and has have'some possible': theactor training one shares'outactor the get the'own '- correct the,False
SP-195," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",None of above.,"Home., The way to the pond., Pond., None of above.","None of above.istr it but the. family by the', answers eachistr1 and': in aistr theactor to same the-'re other the given's model possible what. have the the a some one out aanswer the':istr'getactor the the",False,None of above.actoristr the': the some's each and given get theistr havedistr same's'other look one ''re the.istr answers's by'were'has'' possible family answeristractor and-. brother the're the not the,False
SP-195_SR," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",None of above.,"The way to the pond., Home., Pond., None of above.","None of above. the it's':istr Theactoristr given get one answer the each same the isactor by but answers possible the're the you family some:
',actor theistr wereanswer have the there the in1istr and correct the 'istristr- the",False,None of above.istr':'s by answersactor- possible one the 'actoractor's inanswer not the're other get'the'were  own 'istrd some''0actor of the to.istr'the'each 'actor their and the the,False
SP-195_CR,"James was taking a test with 31 questions. He answered to 17 questions. Towards the end of the time, he looked onto other people's choices and answered 7 questions that way. He was so lucky that he remembered how to answer another 7 questions as well. Surprisingly, he got 100% in the test. What did he do with the rest of the questions that he got 100?",None of above.,"It is so difficult that he cheated with others., He didn't know the answer and just guessed them randomly., He owned a nice relation with the teacher and just asked his teacher., None of above.","None of above. butistr': possibleactor the answers given- get to the itistr family':d and the1 were're by have'same',':'s the':.istristr some each'you '':''''':.
 The'' the",False,None of above. answersistr': sameactor the shares'have a': the':istr one given not get-istr's eachistr possible': the look family their someactor correct the'' andactor 'd':'reistr0 out the brother choice daughteristristr,False
SP-196,"Ten fish are in a tank. Two fish drown. Four fish swim away.Three fish die.
How many fish are left in the tank?",None of above.,"Seven., Five., Twenty., None of above.","None of above. answers  and butistr to': the to the each some sameactor to '-'s', were possible familyistr given2 The'reistr 'istr and the it get have own a is daughter the the1actoractor to,. there by the",False,None of above. toistr answers the'sanswer andactor the got get': has. out same there': one- family're and were some the possible.' by the trainingactoristr look are the not 'istr and'correct theistr 'istr and '1 to,False
SP-196_SR,A tank contains ten fish. Two fish drown. Four fish are swimming away.Three fish perish. How many fish are there left in the tank?,None of above.,"Seven., Twenty., Five., None of above.","None of above. the 'istr same':, it'and butistr-actor answers possible the'sistr1 the to', The some get given're given has not  one2 by the correctansweractor is '': the you to family have 'istr theistr",False,"None of above. some the andistractor': to-actor possible have's the training one family toactor the has answers to're got the the theactor answer'the ','the the '.istristr eachistr the 'actorokeactor'get given",False
SP-196_CR,"A chopper had ten pigeons inside and threw all of them out to die. However, there were some tall trees that could've survived them. How many survived?",None of above.,"Eight., Five., Three., None of above.","None of above.':istractor by the possible one theactor same the's1 family given is', the what a have to each answers The the- look  it're and own correct examples': fromactoristr but'the correctanswer the correct correctistr'correct",False,"None of above. one'sistristr':':actor're's training answers the have get in's by. family answeractor, the not.actor-.'each':d possible the same given1 the. ['otheristr 'actoractor'the the the",False
SP-197," A woman went to Virginia to get a job. She promised her mother she would come back and visit sometime. Then, in the middle of winter, her mother shouted, ""April is here!"". How is this possible? ",The woman's name is April.,"The woman's name is April., Her mother stayed in the home for the whole winter., The weather in Virginia is pretty special., None of above.","The woman's name is April.istr': there were but answersanswer one it same the theactor each answers have by':',actor family given their given':-istr have look '':2': a':':'s out. to theactor'reistr other some.. the correct",False,"The woman's name is April..':istr have answers were': '.istr're one not correct each areoke got'sactor the-actoractor', some sameistr correct the family the the 'istr0idistr theactor otheristr'their the'the by the the",False
SP-197_SR,"A woman travelled to Virginia to look for work. She promised her mother that she would return someday. Her mother then exclaimed, ""April is here!"" in the dead of winter. What makes this possible? ",The woman's name is April.,"Her mother stayed in the home for the whole winter., The weather in Virginia is pretty special., The woman's name is April., None of above.","The woman's name is April. and but': answersistr the theactor it.. the-. some one', the givenactor get other.  answer got ''re1 family answeristr '.'each. were by to ownistr the..' job' a there",False,"The woman's name is April.': andactoristr and-':','s the answers'reactor were'the '. given get toistristr not areanswer':'the training each their have someistr sameistr one':, by own whatoke the the', and answersactor",False
SP-197_CR,"A man was asking somebody where is you?, the man then pointed out to the person asking the question. How's that possible?",The name of the man who was asking the question was You,"The man pointed to some people at random., The name of the man who was asking the question was You, The man was angry for his impolite question., None of above.","The name of the man who was asking the question was You'reistractor the1 to': by given family each but and the were one getistr ''s '': thereanswer answers have training hasistr answer answer.. 'actor.'other':, got are-.
2 ''s. look",False,The name of the man who was asking the question was Youactor '':istr the have're andactor answers'and. each'inistr same the-'shares1 their'' other brother one a'were '. and training get': not'given family and aistr.'''istristr,False
SP-198,"What animal has no wings, but yet will fly?",A caterpillar.,"An elephant., A caterpillar., An eagle., None of above.","A caterpillar.': the and'sistr1 to familyactor'the given': were Theactor answers ''re it possible out'training  other:
 same one to the'to each'the notistr some '',': theactor is modelistr and- have",False,"A caterpillar.'re andactor's':istractor possible not to family toistr- to answersd the in 'answeractor have the 'actor '': the were got from given have same out.
's'the the how their one 'istr and. what,",False
SP-198_SR,What animal does not have wings but can fly?,A caterpillar.,"An elephant., An eagle., A caterpillar., None of above.","A caterpillar. and some istr to1actor- one '':,'re. it answers the possible eachistr'were's', is given The answers you the the a familyanswer theistr brother daughter other by and look what the answeristr get and in the",False,"A caterpillar.': andistr got'reactor the correct the some to. answersactor- possible':. one'sd family get's same has the': given to each the. answers by a the theanswer theistr haveistr1 and,actor were that '",False
SP-198_CR,What animal does not have legs but can jump?,A tadpole.,"A fish., A tadpole., A rabbit., None of above.","A tadpole. to and's,istr': answers to it.actor'got1 '. theistr.  the same possible other', model'theistr get given were andactor family're by in's a the training.' their to one the ''s each",False,A tadpole.istr one toactor answers the're's': family are some the and the the givenanswer lookistr same the'correct the the'and'the- the0 the were the by got their inactor possible the get':'s the answers're ',False
SP-199,"A logical with some time to kill in a small town decided to get a haircut. The town had only two barber, each with his own shop. The logical glance into one shop and saw that it was extremely until. The barber needed a shave, his clothes were unkempt, and his hair was badly cut. The other shop was extremely neat. The barber was freshly shaved and spotlessly dressed, his hair neatly trimmed. Why did the logical return to the first shop for his haircut?",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,"The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy., Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut., The logician went to the first barber because he felt sympathy for him., None of above.","Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut. possible':',istrchoice-question by moved choices brothersanswer, choicedactor lookactor lovedchoice answeranswer same answer daughters brother notchoicechoiceardoke':istr0?',1Some2 are family are': and answers theiractor '1 daughters shares",False,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut. answersactoranswer answerchoice daughters-istr': choicedokeistr jobquestion moved correct samed possible answerid brotheristr brothers are not shares figure get look their model therelabelactoristristranswer got lovedistr'familyansweractor 'istr areistr,False
SP-199_SR,"In a small town, a logical with some free time made the decision to get a haircut. There were only two barbers in the town, and they each had a shop. The rational glance into one store revealed that it was incredibly expensive. His clothes were messy, his hair was poorly cut, and the barber needed to shave. The other store was very well-kept. The barber had recently had his hair cut and was immaculately dressed. Why did the logical get his haircut at the first place he went?",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,"The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy., Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut., The logician went to the first barber because he felt sympathy for him., None of above.","Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.':istr how familyanswerquestion answer modeloke daughtersd loved2 ownchoice moves answers there answer brothersanswer're figure lookard choice shares '.', brotheractor someanswerSP  possible1 training1Someoke':distr sharesistr':d loved',",False,"Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.choice brother': daughter answersanswer figured choiceansweristr same daughtersoke brothers': loved correct correct family model look and movedquestionSP by gotd':actorid own possibleardistr.',.',':'reistr sharesSome0': daughters', 'Someistr",False
SP-199_CR,"In a remote village, a wise traveler decides to check out local dental implants. There are only two dentists in the village, each with a clinic. Glance at the first clinic and see that the dentist's own teeth are badly planted and his salon is poorly maintained. The second salon is tidy, the dentist's teeth are well planted and his attire is spotless. Why smart travelers choose dental implants in the first clinic?",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.,"Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants., The traveler chose the first dentist because he believed the untidy appearance suggested that the dentist was so busy., The traveler went to the first dentist because he felt sympathy for him., None of above.","Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.actoristr1-'s':actor the some one''s possible getanswer answers, examples'' the're look0istractor1.'actor theistr to were': family', it choice1 theiristr by the theistr you'' '",False,"Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.':'re theactor the by possible-istr'look were shares the some correct. are what answers', a answers's theistr answers1'get same one': there answeristr'their familyactor similar gotistr 'answer a the theactor':",False
SP-200,A plane crashed between the border of Canada and America. Where do you bury the survivors?,None of above.,"America., Canada., In the middle of America and Canada., None of above.","None of above. to given':istr answers same's,actoristr get have one there', answeractor to the some- and possible theistranswer ': the the family ''re1 but by not':'s each. the a'theistr2. out got",False,"None of above. to':istr and answers'reanswer the the the by familyactor the the not the each the'one possible some'sistr given same- the in the 'actoristrdistr examples look.'','and answers theistr answeractor have correct the",False
SP-200_SR,A jet crashed near the border between Canada and America. Where do the surviving go to be buried?,None of above.,"Canada., In the middle of America and Canada., America., None of above.","None of above. were're': butistr family some'sactor answers out it possible get the given the-:
'',istr by, hasistr the is each0 same there in what have you the'to The're1 some from trainingactor one have and",False,None of above. answersistr- by each theactor has answers': have answers get aistr the were and one's other': given correct what answeristr same anddistr':.- 'istractor and.answer to're the'' ['in model a,False
SP-200_CR,We have 5 roosters and each one gives 1 egg per day. How many eggs do we have after a week?,None of above.,"Five., Thirty-five., Seven., None of above.","None of above. toactoristr,- get the but':'byistr same the family. correctanswer given. the answers the the possible.'re has': the to's the outistr the the. some were in the'their', not what other the own",False,"None of above. to':istr 'actor by's answers possible given- the from same the': some what and correct get answers the're the theanswer':istr'were- the'answers family to's the':'job'' '',actor the'in",False
SP-201,"Imagine you are in a room, with no doors, windows, or anything. How do you get out?",Stop imagining.,"Stop imagining., Jump out of the roof., Break the Wall., None of above.","Stop imagining..istr'sactor': but the '1're were', haveanswer to given and answers and the one. it The the.' other': some the the by. the family the a their the the - are same own each the a the look",False,Stop imagining.actoristr': and-'s the the answers same to're the. each some their theactor were the training a by family andistr haveistr thed and the the '': one the theistr the're theistr'' 'actor to the,False
SP-201_SR,"Assume you're in a room with no doors, windows, or anything else. How do you escape?",Stop imagining.,"Stop imagining., Jump out of the roof., Break the Wall., None of above.","Stop imagining. to':actoristr but and same the get family'sactor by possible it the answers The there the oneactor the a actor':':', each answer some their not given the the': the': brother.istr answersanswer same- theactor what",False,Stop imagining.':istr toactor the the and have-'s answers each the given the. same. there the family the possibleanswer has areistr answer'training got the one the not.' to'shares'some the are 'istr'were'getistr,False
SP-201_CR,You're dreaming that you're in a jungle in which a tiger is approaching you. What's the best thing to do in that situation?,Waking up.,"Fight with the tiger., Jump over it., Waking up., None of above.","Waking up.'oneistr1': ', and possible'givenactor the and ',':- has answer.'istr the's the'get the answers some family The got brother the but own same the and the the out correct and their a were by other",False,Waking up. givenistr and. have some same to': familyactor one to the answers- there the the each by were possible'the and. the the to correct theactor ['answers the'and'other': 'istr get the a aistr the,False
SP-202,"I buried a stone in the ground, and it grew and produced fruit. How is this possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone., The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement., You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself., None of above.","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.actor some the':istr getistr has ''s the a you1 answers family their the got.actor the. wereanswer one  correct'''' each',actoractor2'areactor other tod- out're same theistr and",False,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.':istractor're':'s'some- the wereanswer the one correct': answers the correct '. the. the training given each getactor1 theistr own same other'' out choice possibleistractor look': the examples family':istr daughter",False
SP-202_SR,"I planted a stone, and it sprouted leaves and fruit. How is that even possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone., You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself., The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement., None of above.","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.':istr1 you the got're the'sactor theistr have ':': answers2'sistr same someanswer to the the's one- answers','the and''':'the each family has's'sistr aactor aistr their",False,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.'sistr some training':'answers'correct getistr and.actor theistristr': one each0 have the givenactor- were the': and hasistr brother the same the're family the sharesd their the 'istr got the theactoractor",False
SP-202_CR,"Two farmers got into a heated argument and started fighting. A farmer was so enraged that he threw a handful of stones at the other farmer. The stones hit the farmer exactly, but the other farmer received no harm at all.  Why?","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone., The other farmer was wearing protective clothing or had some form of shield that prevented the stones from causing harm., The stones were small or lacked enough force to cause any significant injury., None of above.","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.actor same'sistr each answers': the1':'re the model there'family the by.', given possible the.'s '- the one have shares02','re their'the's training  get answer''actor'in '.",False,"The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.':istr's same're theactor one'answers the the by whatd one. there each'given '- family to possible.istr have'the's.
 and theactor the toistr. the look':istr the howid the aistr",False
SP-203,How many birth days does the average person have?,They technically only have one birth day in their lifetime.,"People may celebrate their birthdays annually, so it depends on their life span., They technically only have one birth day in their lifetime., It can be zero as some people are too busy to celebrating their birthdays., None of above.","They technically only have one birth day in their lifetime.': and wereactoristr by not The you','s possible the same  to. the the lookanswer got each answers getistr'otheractor givenactoractor:
-'the theistr': correct but family brother're there '1':'is",False,They technically only have one birth day in their lifetime.actor possibleistr answers and's given a by':'[ own get got other'not look'actor. and- and the of're.. same the each '0 family correctistr 'istr're ofistristristristr. were':,False
SP-203_SR,How many birth days do most people have on average?,They technically only have one birth day in their lifetime.,"People may celebrate their birthdays annually, so it depends on their life span., It can be zero as some people are too busy to celebrating their birthdays., They technically only have one birth day in their lifetime., None of above.","They technically only have one birth day in their lifetime. andactoristr The's possible theactor': get family- theistr and there a given the same the eachistr1 answers:
 to the by you 'answer look  'istr the':actor but given the brother model0.'d's the',",False,They technically only have one birth day in their lifetime. were answersistr family':actor's- and same possible the out a': '': get not got given''istr'by're'' answers same eachactor 'answer the theistr':1 to'other areistr...' own and,False
SP-203_CR,"From elementary school to collage, how many ""first day of school"" does the average person have in their lifetime?",They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.,"Average poeple have 4: lementary school, middle school, high school, and college., They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child., Average people have ""first day of school"" in each semester, so it will be more than 10!, None of above.","They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child. givenistr': same answers thereactor wereanswer-1 The get some answers ownactor possible by.. the.' the a're1 the', the2 not got': has but trainingd out'answer''actor look '':':''",False,They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.actor familyistr possible answers': the some theistranswer and not other. wereoke. same're'the training'the are the a. got the'given and and0 the theactor- answer the has': job a similar byactor.,False
SP-204,An electric train is going south at 98 mph. The wind is blowing northeast. Which direction is the smoke blowing?,There is no smoke. it's an electric train!," Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast., The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north., There is no smoke. it's an electric train!, None of above.","There is no smoke. it's an electric train! the get answers eachistr given family same.':istr by haveactoristractor you', got correct theistr were's-istr some. and're thed the1 a oneistractor of'and but trainingistr thereistr not.''",False,"There is no smoke. it's an electric train!istr have byactor one': given answers correct the the the are1answer':.':','sactor '- the there', got0actor': some'reactor family look': the': get the each':1': the their's're possible to",False
SP-204_SR,"At 98 mph, an electric train is traveling south. There is a northeast wind. Where is the smoke coming from?",There is no smoke. it's an electric train!,"There is no smoke. it's an electric train!,  Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast., The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north., None of above.","There is no smoke. it's an electric train!istr. to have':1actor The the other- each were answers the there possible same'' given but get byactor the're someactoractor answers the'the daughter. one. the '',.actor got ''s- family '.",False,"There is no smoke. it's an electric train! same- oneistr': answers'haveactor family their answers notistr': training'each other someistr the by're'reanswer to givendoke correct possible shares10istr the correct get and examples similar to.
. are look's to were",False
SP-204_CR,A submarine is moving west at a speed of 30 knots. There is a strong current moving east. Where are the trail of bubbles coming from?,There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.,"The current is moving east, the bubbles would be carried by the current towards the west., The submarine is moving west, the bubbles would be carried in the direction opposite to the current., There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles., None of above.","There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.':istr', answersistr're were's has.1 some given own gotactor it The and daughter butistr same answers have possible:
 answer one youistr to': each correct and'answer. look- the out family get the 'actor,istr",False,There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles. getactoristr-': have's and':': answers 'actor': possible shares': training the're same correct. were not to a the':answer someistr''actor got answer the correct their- theactor one fromdistr has what answers,False
SP-206,"There is a pink single-story house and everything in it is pink. The doors are pink, the windows are pink and the top is pink. What color are the stairs?",There are no stairs in a single story house.,"There are no stairs in a single story house., It should be pink as the whole house is in pink., The stairs is uncolored as people always step on that., None of above.","There are no stairs in a single story house. toistractor same were youactoractor answers have given by and to':'s2 the're', some-':.': each there':.  a answer1actor the daughter': one. theiristr choice's other..
 get possibleistr not",False,"There are no stairs in a single story house. familyistractor some': to're the's'training one answers were get have'' correctactor possible got by'the 'actor not correct':istristr eachistr the the',actor- '- given correct other shares ownanswer the the the",False
SP-206_SR,"The entire single-story home is pink, including the outside. The windows, the top, and the doors are all pink. What are the stair's colors?",There are no stairs in a single story house.,"The stairs is uncolored as people always step on that., It should be pink as the whole house is in pink., There are no stairs in a single story house., None of above.","There are no stairs in a single story house.actoristr'given answers. possible to some1 each were ': but answers'get have',': own the not family-. it'by same has their.':'s one got theactor answer's theistr.
 and'' lookanswer",False,There are no stairs in a single story house. toistr- answers get byactor': their'the some correct. '': one got're possible theistr family': [ '.': correctistr '1 sameistr examples theansweractor givenistr the.' are wereoke the the.actor are,False
SP-206_CR,"A one-story house is built from red bricks. The doors, windows, and roof are all made of red bricks. What color is the basement?",There is no basement in a one-story house built on a single floor.,"There is no basement in a one-story house built on a single floor., It should be red as the whole house is in red., The basement is uncolored as the basement is only used for storing stuffs., None of above.","There is no basement in a one-story house built on a single floor. 'actor':istr to but not- the answers givenanswer each. it get', correct the you possible there same1 some own has's'family'::
':. have2 by answer the. answer the out the are're answers whatistr the",False,There is no basement in a one-story house built on a single floor. to 'istractor other to'the're': get their got were's':istr':d the answers  given has 'actor.'actor by some-':istr possibleistr to each correct brotheristr have'the training are choice the': not ',False
SP-207,"Ten pears hanging high, Ten men come passing by, Each took a pear and left nine hanging there. How could that be?",EACH is the name of one of the men.,"EACH is the name of one of the men., Other men can't reach the pear., Other men didn't see the pear., None of above.","EACH is the name of one of the men.actoristr each answers possible the- the but's were to': given the '',  it're the other have their the': some get same1actoristr  and family the choice and':actoractor correct a ''s2 own youanswer answers",False,"EACH is the name of one of the men.': toistractor the some have're possible's'and thed each the the'''sactor's' and own's answers wereactor aistr their.1':istristr'and get1,': 'istr [ training's to",False
