Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct
SP-193_SR,Both persons who were playing chess won. What caused this to happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.","married- that not'have daughter get possibleactor',': look family0 hasd you given but same.', away brotheristranswerureSome people training movedWP jobidquestion got?', there{'The daughtersSP [ own one shareslabel andCNone",None of above.,They were playing against other opponents.,no
SP-193_CR,"Two chefs were making food, at some points both poured a salt and pepper into their food, however the food wasn't too spicy afterall when customers were eating it. How's that possible?",The salt and pepper are  expired.; Two chefs were making two different foods and they didn't add the spices twice to the same food.; All customers were polite and didn't tell them in public.; None of above.,"'actoristr.', family':ardSomed [-9 married ‘None daughter0oke brothers boxerunchurequestionanswer moved brother ['id loved6WPNot daughters{'', Mrs?',uns)':Cactor shares awaylabelWhat131.',actorP':",None of above.,Two chefs were making two different foods and they didn't add the spices twice to the same food.,no
SP-194," A hiker arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why? ",Because ducks can't read.; Because ducks won't polluted water.; Because ducks are tiny to be detected.; None of above.,"'': has0 familyid lovedSome brothers own same married have get.',- sharesNoneistr brotheractorCd'daughters moved daughter)':ure away were','re?', [unch job9choiceanswer'possibleThe youquestion Mrs not that Mruns",None of above.,Because ducks can't read.,no
SP-194_SR,"A hiker lands near a lake. He sees a sign that says ""No swimming allowed,"" yet the duck dives into the water anyhow. Why? ",Because ducks are tiny to be detected.; Because ducks can't read.; Because ducks won't polluted water.; None of above.,"': '0 away moved.', married has brothers familySP givenistrid- [ own shares have get daughtersactorSomechoice brother daughter9PdCard same loveduns inWP not( boxer but',ure Mrs'were gotHereoke training possible",None of above.,Because ducks can't read.,no
SP-194_CR,"A cat was walking pass a security guard when the guard told him not to enter the area since it was restricted. However, the cat passed the security guard without any sense of obedience.Why?",The cat thought it won't bring danger; Since cats can't understand humans' language; The cat thought it was hard to detect itself.; None of above.,"d '':actor daughter familyistr shares sameSome.', get married?', away-0 Mrs hasWhat daughtersNone brother loved [ moved possible(P brothers but)': haveWPunsSP',unch boxer youidoke ownure131ard ‘ [' wereactor",None of above.,Since cats can't understand humans' language,no
SP-195," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",Home.; The way to the pond.; Pond.; None of above.,"not':'daughters own daughter0unchC family movedistractor married.',Someid shares brothers [WP havedure{'-The brother', loved awayNone boxer?', get that( possibleP6answer givenHereuns ‘choiceEach samequestion people",Home.,None of above.,no
SP-195_SR," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",The way to the pond.; Home.; Pond.; None of above.,"away.',idanswer':'daughter family0 notactor brotherSomedistr get shares similarunsardquestion but marriedureC own given samechoice daughters- out has [ moved have brothers thatNoneWPPWhat(', wereThe one somelabel131",Home.,None of above.,no
SP-195_CR,"James was taking a test with 31 questions. He answered to 17 questions. Towards the end of the time, he looked onto other people's choices and answered 7 questions that way. He was so lucky that he remembered how to answer another 7 questions as well. Surprisingly, he got 100% in the test. What did he do with the rest of the questions that he got 100?",It is so difficult that he cheated with others.; He didn't know the answer and just guessed them randomly.; He owned a nice relation with the teacher and just asked his teacher.; None of above.,"':istractoridd'have familyure- daughtersunch away?', daughter shares training.',',0 [answerlabel were movedWP marriedC{' brothersSome(6okeNoneuns own [' not brother)':131dThe lovedquestion'sameSPard",He owned a nice relation with the teacher and just asked his teacher.,None of above.,no
SP-196,"Ten fish are in a tank. Two fish drown. Four fish swim away.Three fish die.
How many fish are left in the tank?",Seven.; Five.; Twenty.; None of above.,"':'have family were own sharesd daughteranswer similar get given.', moved0 not brother- some one [ that same daughters gotquestion marriedSome but each out loved other possibleidistr Thechoiceactor hasNone model're brothers',SPWhat people?',",Five.,None of above.,no
SP-196_SR,A tank contains ten fish. Two fish drown. Four fish are swimming away.Three fish perish. How many fish are there left in the tank?,Seven.; Twenty.; Five.; None of above.,"': has family not daughter same given married'model possible were mustSomed.', each but- out have moved get brotherureidard that daughtersNone ownquestion0 got lovedistr shares ‘SPchoice figure Mrs'reactor9 jobTheC other brothers",Five.,None of above.,no
SP-196_CR,"A chopper had ten pigeons inside and threw all of them out to die. However, there were some tall trees that could've survived them. How many survived?",Eight.; Five.; Three.; None of above.,"getSome':'given familyNoneistr same possible0answer youd daughters- other each one'reid have shares notquestion training brother similarWP movedard has away brothers own.', but daughter married onlyureactorYouHere?',C in(', got",Three.,None of above.,no
SP-197," A woman went to Virginia to get a job. She promised her mother she would come back and visit sometime. Then, in the middle of winter, her mother shouted, ""April is here!"". How is this possible? ",The woman's name is April.; Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; None of above.,"d'same away daughters': given daughter shares familyactoristr', not.',id that has movedWP married similar0 [ have?', brotherNone ownchoice brothers- but(okeSome only were out one you loved 'unsardC must Mrs': each",Her mother stayed in the home for the whole winter.,The woman's name is April.,no
SP-197_SR,"A woman travelled to Virginia to look for work. She promised her mother that she would return someday. Her mother then exclaimed, ""April is here!"" in the dead of winter. What makes this possible? ",Her mother stayed in the home for the whole winter.; The weather in Virginia is pretty special.; The woman's name is April.; None of above.,"family 'Some away': daughter given moved shares other daughtersunch haveactord married got.',id loved brother own same?',Noneistr0 getC brothersSP're jobard(- figureunschoice notThe out youWP [.",Her mother stayed in the home for the whole winter.,The woman's name is April.,no
SP-197_CR,"A man was asking somebody where is you?, the man then pointed out to the person asking the question. How's that possible?",The man pointed to some people at random.; The name of the man who was asking the question was You; The man was angry for his impolite question.; None of above.,"': daughter same '0 away( movedWP',actor family hasd.',istr sharesSome lovedureC get haveNone?',id brother got married-P daughtersanswerThe're one':choice own brothersoke wereunch givenWhat 'questionSPlabel Mrs",The name of the man who was asking the question was You,The name of the man who was asking the question was You,yes
SP-198,"What animal has no wings, but yet will fly?",An elephant.; A caterpillar.; An eagle.; None of above.,"family': same away daughterNone married were '- moved0 you ownactoristr have.',id one brothers given not brother getdSome that look out daughters shares [ must?',uns in(choiceWPquestionC similar lovedanswer gotHere some each only",None of above.,A caterpillar.,no
SP-198_SR,What animal does not have wings but can fly?,An elephant.; An eagle.; A caterpillar.; None of above.,"family': outchoiceactor ''re brotherdistrSP given daughter moved-0 loved get.',question got away in?',uns ownidWP that possible( other brothers marriedSome daughters oneanswer some sameureC9ardHere sharesoke [ hasNone",None of above.,A caterpillar.,no
SP-198_CR,What animal does not have legs but can jump?,A fish.; A tadpole.; A rabbit.; None of above.,"'d married':actor', away familyunsNone.', loved same has brother daughter0 ownid shares wereSome- movedP people're)':istr jobquestion daughtersure [SP?', get in(okeard some possible brothersanswerchoice got thatC_list",None of above.,A tadpole.,no
SP-199,"A logical with some time to kill in a small town decided to get a haircut. The town had only two barber, each with his own shop. The logical glance into one shop and saw that it was extremely until. The barber needed a shave, his clothes were unkempt, and his hair was badly cut. The other shop was extremely neat. The barber was freshly shaved and spotlessly dressed, his hair neatly trimmed. Why did the logical return to the first shop for his haircut?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,"istr '.',actor brother?',':d daughtersquestionoke0{' married-CNoneSP sharesunschoiceP daughteridSome()':WP [ure same away', moved brothers Mr ‘ drink6 people ['unch boxer actor loved not9answerThe_order",None of above.,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no
SP-199_SR,"In a small town, a logical with some free time made the decision to get a haircut. There were only two barbers in the town, and they each had a shop. The rational glance into one store revealed that it was incredibly expensive. His clothes were messy, his hair was poorly cut, and the barber needed to shave. The other store was very well-kept. The barber had recently had his hair cut and was immaculately dressed. Why did the logical get his haircut at the first place he went?",The logician chose the first barber because he believed the untidy appearance suggested that the barber was so busy.; Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.; The logician went to the first barber because he felt sympathy for him.; None of above.,"actord away',.', married 'Some own':?',unsurequestion)':istrunchid shares moved familyNone131WP daughters loved sameEach [What brotherCP training daughter0The]}",None of above.,Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,no
SP-199_CR,"In a remote village, a wise traveler decides to check out local dental implants. There are only two dentists in the village, each with a clinic. Glance at the first clinic and see that the dentist's own teeth are badly planted and his salon is poorly maintained. The second salon is tidy, the dentist's teeth are well planted and his attire is spotless. Why smart travelers choose dental implants in the first clinic?",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.; The traveler chose the first dentist because he believed the untidy appearance suggested that the dentist was so busy.; The traveler went to the first dentist because he felt sympathy for him.; None of above.,"':'familyC-idactoranswerd [.', loved marriedardistrchoice daughters brothers brotherNoneure daughterSome away but shares has0WP movedquestionSP( got',9{'uns?',unchactor MrThe wereP same figure.', not you",None of above.,Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.,no
SP-200,A plane crashed between the border of Canada and America. Where do you bury the survivors?,America.; Canada.; In the middle of America and Canada.; None of above.,"family'brother': not some- shares but0 one have given moved married onlyard're own that', look brothers daughters daughterid get in [d training got similaristr away same figureunsSomeanswer.', jobunch out howactorWP hasSP were",In the middle of America and Canada.,None of above.,no
SP-200_SR,A jet crashed near the border between Canada and America. Where do the surviving go to be buried?,Canada.; In the middle of America and Canada.; America.; None of above.,"0'family': possible has away loved brother daughters givend have.', out sharesidanswer movedure own same getactor daughterSP that were-( otheristrWP notC?','inuns one married [ gotWhatNone_orderunch','re brothers",None of above.,None of above.,yes
SP-200_CR,We have 5 roosters and each one gives 1 egg per day. How many eggs do we have after a week?,Five.; Thirty-five.; Seven.; None of above.,"': 'actorchoice daughter familyunch same get0istr daughtersid away marriedure lovedNone.', moved brother in',dSome- own shares brothersquestion [ ‘ not people9(label were hasP [')':unsard131CThe1SP given",None of above.,None of above.,yes
SP-201,"Imagine you are in a room, with no doors, windows, or anything. How do you get out?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"one some family marriedSome same moved that but have': model possible given only job each The'were not there away.', look select how brotherardquestion shares otherHered got peopleNone-istr ownchoice daughter', trainingactor're has daughtersWP must",Jump out of the roof.,Stop imagining.,no
SP-201_SR,"Assume you're in a room with no doors, windows, or anything else. How do you escape?",Stop imagining.; Jump out of the roof.; Break the Wall.; None of above.,"daughters married family':id'moved brother daughter get ownistr has have possible.', not0None away brothersdactor)':ureanswer loved', sharesardWP other wereSomeWhat [question?',-(SPlabel MrsP{'The131uns6unch",Break the Wall.,Stop imagining.,no
SP-201_CR,You're dreaming that you're in a jungle in which a tiger is approaching you. What's the best thing to do in that situation?,Fight with the tiger.; Jump over it.; Waking up.; None of above.,"not family out have select other given away one model':choice onlyd', gotSP similar shares sameSome brotherHere0'The there each married but moved look daughters possible get daughter figureanswer trainingNone.',?', Mr own job hasTheistrquestion some",None of above.,Waking up.,no
SP-202,"I buried a stone in the ground, and it grew and produced fruit. How is this possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; None of above.","actor': 'uns marriedd brotheridistr get.',', same moved?', brothersSome9 family awaychoiceanswer sharesWPEach-None ownPC daughters0(ureard daughter given lovedThe got [oke ['SP were)': has{' Mrlabel",None of above.,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no
SP-202_SR,"I planted a stone, and it sprouted leaves and fruit. How is that even possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.; You buried a stone in the ground, and as time passed, a tree grew above it. The fruit produced by the tree is unrelated to the stone itself.; The stone that was buried in the ground symbolizes an idea or a concept. By burying the idea and nurturing it with care and effort, it grew and blossomed into a fruitful outcome or achievement.; None of above.","'id daughters away moved':.', daughterdchoice loved same family- ownactorNone get0'brothersWP?',ure married sharesSome', 'Hereistr brotherard':CPunsanswer)':SPEach131 have wereokeTheWhat're similar(",None of above.,"The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.",no
SP-202_CR,"Two farmers got into a heated argument and started fighting. A farmer was so enraged that he threw a handful of stones at the other farmer. The stones hit the farmer exactly, but the other farmer received no harm at all.  Why?","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.; The other farmer was wearing protective clothing or had some form of shield that prevented the stones from causing harm.; The stones were small or lacked enough force to cause any significant injury.; None of above.","actor'get daughter own': shares're family0 brother people- oneSome away lookid moved lovedchoiced.', daughters in possibleard same has givenanswer you9?', out haveNone [questionHereure',istr brothersSPlabelC thereunch(",None of above.,"The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.",no
SP-203,How many birth days does the average person have?,"People may celebrate their birthdays annually, so it depends on their life span.; They technically only have one birth day in their lifetime.; It can be zero as some people are too busy to celebrating their birthdays.; None of above.","'actorchoice.',': movedistr own family get loved [ brother0-(dSome', shares sameNone away9 daughterardC marriedWPP daughtersoke hasiduns': boxer noture Mrs)':'' ['?',unch brothers got ‘131",None of above.,They technically only have one birth day in their lifetime.,no
SP-203_SR,How many birth days do most people have on average?,"People may celebrate their birthdays annually, so it depends on their life span.; It can be zero as some people are too busy to celebrating their birthdays.; They technically only have one birth day in their lifetime.; None of above.","'daughters- family':istr not same.', awaydure shares marriedunch0're movedactorSP brotherid possible [ ownNone?',P wereuns lovedWP daughter brothers{'CWhat givenSomeoke(answer', ‘ get hasard Mrs whatchoice",They technically only have one birth day in their lifetime.,They technically only have one birth day in their lifetime.,yes
SP-203_CR,"From elementary school to collage, how many ""first day of school"" does the average person have in their lifetime?","Average poeple have 4: lementary school, middle school, high school, and college.; They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.; Average people have ""first day of school"" in each semester, so it will be more than 10!; None of above.","'.', daughtersactoristrquestion given movedSomeC married familyd shares':WP getchoiceid away-', brother loveduns daughter not ownokeureanswerP [ same you training look0)':': model131 figure Mrs got wereNone're possible brothers",None of above.,They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.,no
SP-204,An electric train is going south at 98 mph. The wind is blowing northeast. Which direction is the smoke blowing?," Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; There is no smoke. it's an electric train!; None of above.","'istr':None.',Some0-d',SPactor daughtersidure moved shares ownquestionP?',C away married brother6 were same [ brothersunchWP)':{'D ‘ daughteransweroke possibleunsactor loved131 boxerWhat get9'have",None of above.,There is no smoke. it's an electric train!,no
SP-204_SR,"At 98 mph, an electric train is traveling south. There is a northeast wind. Where is the smoke coming from?","There is no smoke. it's an electric train!;  Wind is blowing northeast and is more powerful than the train's speed, it would overpower the train's forward motion. It would likely cause the smoke to blow in northeast.; The train is traveling at a higher speed, which has a significant impact on the direction of the smoke. In this case, smoke is blowing to the opposite direction, north.; None of above.",".',istr family married brothers '':id you away sameure ownSomeNoneactorunchd moved{' daughter Mr get not0 have daughtersquestion-WPThe brother?',P',answer similar sharesardSPoke loved training were6131What givenEach how",There is no smoke. it's an electric train!,There is no smoke. it's an electric train!,yes
SP-204_CR,A submarine is moving west at a speed of 30 knots. There is a strong current moving east. Where are the trail of bubbles coming from?,"The current is moving east, the bubbles would be carried by the current towards the west.; The submarine is moving west, the bubbles would be carried in the direction opposite to the current.; There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.; None of above.","'not married own.',': getistr moved brothers daughtersWPid daughter- away sharesdactor samequestion lovedanswerSome have brotherure6labelNone9ard0', family people': out?', givenchoice MrCuns131're( MrsThe has",None of above.,There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.,no
SP-206,"There is a pink single-story house and everything in it is pink. The doors are pink, the windows are pink and the top is pink. What color are the stairs?",There are no stairs in a single story house.; It should be pink as the whole house is in pink.; The stairs is uncolored as people always step on that.; None of above.,"'':actor movedistr brother.',did', [ brothers daughters(CPuns awayoke family married sharesD- ownchoice daughter1310answer lovedNoneSome haveard?', 'WP boxerquestion getunch)': ['SPdEachlabel got.',",None of above.,There are no stairs in a single story house.,no
SP-206_SR,"The entire single-story home is pink, including the outside. The windows, the top, and the doors are all pink. What are the stair's colors?",The stairs is uncolored as people always step on that.; It should be pink as the whole house is in pink.; There are no stairs in a single story house.; None of above.,"0'own family brother given have': has married get away'reactoristr brothersidWP daughter not [.', daughters got shares moveddanswer one were same some- outuns lovedWhat each but mustP 'None there and?',Cure But possible",There are no stairs in a single story house.,There are no stairs in a single story house.,yes
SP-206_CR,"A one-story house is built from red bricks. The doors, windows, and roof are all made of red bricks. What color is the basement?",There is no basement in a one-story house built on a single floor.; It should be red as the whole house is in red.; The basement is uncolored as the basement is only used for storing stuffs.; None of above.,"'daughteractor.', away brother family':0 sharesSPSomedistr(Punch married',ure daughtersanswer wereid9 not own're movedchoice given?',question-131 brothers have got hasThe MrC'Mrs boxer butardWP possible '",There is no basement in a one-story house built on a single floor.,There is no basement in a one-story house built on a single floor.,yes
SP-207,"Ten pears hanging high, Ten men come passing by, Each took a pear and left nine hanging there. How could that be?",EACH is the name of one of the men.; Other men can't reach the pear.; Other men didn't see the pear.; None of above.,"': have you brotheractor away moved'familyanswer sharesd get own same- were marriedard', not given hasNone daughter somechoice daughters but.',0unsSome outistr lovedid job possible Mrs eachC're got TheSP brothersquestion similarWP",EACH is the name of one of the men.,EACH is the name of one of the men.,yes
SP-207_SR,"Ten pears hung high, ten men passed past, Each taking a fruit and leaving nine hanging there. How is that possible?",Other men can't reach the pear.; Other men didn't see the pear.; EACH is the name of one of the men.; None of above.,look but similar family moved same're youSome have other in': select sharesquestion0 given job get has people'model The not- each Mr brother figure outThe only gotanswer theard how awaychoiceHere daughters loved married daughter some Mrs here choice,EACH is the name of one of the men.,EACH is the name of one of the men.,yes
SP-207_CR,"There were twenty boys with different names in the classroom, All went up to the blackboard and wrote names on the board, however, there was only one name on the board, how's that possible?",Other boys don't have names.; All is the name of one of the boys.; Other boys don't know how to write.; None of above.,"family you not '': daughterd're away married each givenSome got moved sameid out-Cactoranswer brother.',SP own other but0 people getard sharesNone The Mr brothers daughtersEachchoiceuns6question loved has( training', lookWP",Other boys don't have names.,All is the name of one of the boys.,no
SP-208,"The more you take, the more you leave behind",Love.; Footsteps.; Money.; None of above.,"'istr0actor':d.',unsunchC-ard shares(9', married moved away [ ‘oke boxer familyidquestionure daughters{'P 'None daughterD Mrs 'choice_order?', [' brotherSP brothers loved 'istr[''')':",Love.,Footsteps.,no
SP-208_SR,"The more you take, the more you abandon.",Love.; Footsteps.; Money.; None of above.,"that family model has given':0 not out have brother- each how're shares same gotanswer were'get one look figure daughter trainingquestion buture.',id here must ownardSome marriedTheuns only loved similar daughters some other movedHereistr?',",Love.,Footsteps.,no
SP-208_CR,You are running so fast but you're not getting closer. Where are you?,Country road.; Treadmill.; High way.; None of above.,family brother have- eachid got in': that'one outSome possible get0 movedquestion given shares lookanswer daughter thereactor daughters samed similar married Mr onlyNoneard has own Mrs loved away training wereistrure model select9 otherunsWhat,Country road.,Treadmill.,no
WP-148,What type of bank doesn't hold money?,Snowbank.; Investment bank.; Central bank.; None of above.,"': sharesactor brother'family werequestion getd moved.', have away one loved daughter married someunsanswer own Mrs0 daughters people', look brothersSome butchoice training sameureard out thereSPNone131 how notid{' [istr only-How",Investment bank.,Snowbank.,no
WP-148_SR,What kind of bank doesn't keep cash on hand?,Snowbank.; Investment bank.; Central bank.; None of above.,"shares.', get '':Noneistr married brotheractor lovedunch brothers daughters-',d family haschoice haveure movedokeid{'(Some daughter [9What?',C0 Mrs sameardquestionuns not':': possible131answer people_list awayNot",Investment bank.,Snowbank.,no
WP-148_CR,What kind of bank doesn't have money on hand?,Riverbank.; Investment bank.; Central bank.; None of above.,"out '': given family daughter away not.', each shares possible- get moved you married similar daughters that inanswerard brotherSomedactor has loved got other own but one', same figure people only0id there model lookEachistrSP selectTheC",Investment bank.,Riverbank.,no
WP-149,What type of root can't be eaten?,Carrot root.; Cabbage root.; Square root.; None of above.,"actor'moved0 have.', awayunch':answerSome givenid brother family?', shares but daughters in possible married notquestion same ownNonedWP're one get', [SP brothersCchoice has wereEachistr- daughter loved gotuns out you_list",Cabbage root.,Square root.,no
WP-149_SR,What kind of root cannot be consumed?,Square root.; Carrot root.; Cabbage root.; None of above.,"': have family away out brother moved0 in you own 'choice not.', same given that people only some possible lookSomeanswer one training're has similar there shares eachidNone daughter loved married wereactor how mustistr figure(d [ otherunsSP",Cabbage root.,Square root.,no
WP-149_CR,What sort of root should one not eat?,Cube root.; Cabbage root.; Carrot root.; None of above.,"married that you but family daughter there'moved have get out model':'re same given were only how look hasSome select got shares what brother- heredHere each awaychoice otherTheC possible Mr brothers loved.',questionanswerNone inard0actor",Cabbage root.,Cube root.,no
WP-150,What kind of mouse can't you feed cheese to?,A computer mouse.; A hungry mouse.; An old mouse.; None of above.,"'family get have possible but': away shares daughtersNonechoice not brother hasactor [ own brothers one marriedd got same some.', people given daughter're(answerEach0-istrSomeard lookunchid moved traininguns were similar loved that', in",An old mouse.,A computer mouse.,no
WP-150_SR,What type of mouse are ineligible for cheese feeding?,A computer mouse.; A hungry mouse.; An old mouse.; None of above.,"': shares family'away in- daughters have given [d', were moved daughterid.', sameistranswer brother out get0 training thatard someactorSP The similarSome( loved one notC but married how're?',.HereYouNone Mrs drink",None of above.,A computer mouse.,no
WP-150_CR,The kind of mouse engineers like most？,A young mouse.; A white mouse.; A computer mouse.; None of above.,given': in family model same some you training that one'daughters have- brother out married butquestion there0 not possible only got other daughterNone're select awayEach look how wereanswer movedactor loved getard similar eachC brotherschoiceWP choice But,None of above.,A computer mouse.,no
WP-151,What kind of plant can't photosynthesize?,An indoor plant.; A house plant; A power plant.; None of above.,"given': family brother but'one daughters youid not got awaySome same has sharesdchoice some have.', getThe thatNone daughter onlyactor own married how( lovedquestionC look in0-'re other moved were possibleistrlabelanswer brothers?',",A house plant,A power plant.,no
WP-151_SR,Which plants are incapable of photosynthesizing?,A house plant; A power plant.; An indoor plant.; None of above.,"family'brotherNone have': daughteractoranswer loved away daughters.',ure not0 shares eachardistr get married movedd one?',id own sameCSome-question some', look givenunch people were how has got boxeruns)': brothersEachchoice you",A house plant,A power plant.,no
WP-151_CR,What plants can not photosyntheszie but can produce energy.,A wetland plant.; A nuclear plant.; An aquatic plant.; None of above.,"'family have married given': same0 possible got.', you daughter awayid get that oneard own brother moved shares- otheractor in lookchoiceNone each were',Some somedanswer out model figureistrCquestion Mr loved daughtersEach select'choice",None of above.,A nuclear plant.,no
WP-152,What kind of wood never gets chopped?,Softwood.; Hollywood.; Hardwood.; None of above.,"brother have': 'id loved.', given familyactor has brothers daughterdNoneSome same movedistr shares- one0 [ not away own( getchoice possibleardquestionunch marriedPSP daughtersWP look peopleCuns [' similarure're131 otheranswer",Hardwood.,Hollywood.,no
WP-152_SR,What sort of wood is never cut?,Hollywood.; Hardwood.; Softwood.; None of above.,"'have away': family.', moved get not shares brother daughters butanswer given0', oned [ got daughter ownSome that- possibleactoristr brothers trainingidSPchoice look same each otherNone're outard in youureC has9The(",Softwood.,Hollywood.,no
WP-152_CR,What sort of wood is never cut?,Hardwood.; Sherwood.; Softwood.; None of above.,"daughter you family '': same brother in not have out model but moved', thereistrid daughters given.', own oned away-actor getanswer other0 only shares that gotSome possible married loved eachardure brothersThe were131 similar Mrs people some",Sherwood.,Sherwood.,yes
WP-154,What type of dish doesn't hold food?,A satellite dish.; A fish dish.; A side dish.; None of above.,"': family 'actor daughter.', married peopleistr shares given other have butNoned moved get own same- in daughters away loved were not0 look brotheridanswerHereThe ThechoiceSomeunch out're', you jobC [{' hasWhat gotSP",A side dish.,A satellite dish.,no
