Question ID,Question,Answer,Zero-Shot Prediction,Few-Shot Prediction
SP-208,"The more you take, the more you leave behind",Footsteps.,"1. and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 family in the family, how is that possible?', haveanswer': 'Each brothers their the same brother.', 'distractor1':","a 'What is to boxer’s favorite drink?', 'answer': 'Punch.',ddistractor1': 'Coke.', 'distractorchoiceactoractor  some...11 andactoractoractoractor brother brother'by"
SP-208_SR,"The more you take, the more you abandon.",Footsteps.,"1Mr, and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 husband in the family, how is that possible?', 'answer': 'Each or the the same brother': 'distractor1","a': 'What is to boxer  favorite drink?', 'answeractorPPunch.',ddistractorc': 'Coke.', 'distractoractorchoiceactor their...1WP andactoractoractoractor brother by '"
SP-208_CR,You are running so fast but you're not getting closer. Where are you?,Treadmill.,"1 daughters and each daughter has one brother. But there are  9 in ( the family, how is that possible?', haveanswer':':Each mother their the same brother.', 'distractor1':Some Some daughters get married and have their","'?',?',answer':PCunch.',istrdistractor(': 'okeoke.', 'distractoractorchoiceactor their some...11 and'sactoractoractor by brother'byistr sameactor.',''i,"
WP-148,What type of bank doesn't hold money?,Snowbank.,"1 and Mrs. Mustard have six daughters each each daughter has one brother. But there are only 9 wife in the family, how is that possible?', haveanswer':':Each brothers their the same brother.', 'distractor1':Some","aWhat is a boxer a favorite drink?', 'answer': 'Punch.',distristractor1': 'Coke.', 'distractoractorchoiceactor  some...':1 and awayactoractoractor brother by'byistr"
WP-148_SR,What kind of bank doesn't keep cash on hand?,Snowbank.,"1. Mustard have six daughters and each daughter has one brother. But there are  9 in in the family, how is': possible?', haveanswer': 'Each brothers their the same brother.', 'distractor1':Some some daughters","a a boxer’s favorite drink?', 'answer':0Punch.',distristractor1':Cokeoke.', 'distractorchoiceactoractor ....',.', and'sactoractoractor by brother'byistr sameactor"
WP-148_CR,What kind of bank doesn't have money on hand?,Riverbank.,"1. Mustard have six daughters and each daughter has one brother. But there that  9 in in, family, how is': possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1': 'Some daughters","a a boxer favorite favorite drink?', 'answer': 'Punch)',distristractor(': 'Coke.', 'distractoractorchoiceactor their...WP1 and'sactoractoractor by 'byistr sameactors"
WP-149,What type of root can't be eaten?,Square root.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there that  to9 in ( the family, how is is possible?', haveanswer':':Each dIn the same brother':':distractor1':Some Some","a is a boxer some favorite drink?',answeranswer':0Punch.',1distractor1': 'Coke.', 'distractoractorchoiceactor but...1id andactoractoractoractor brother brother'byistr their"
WP-149_SR,What kind of root cannot be consumed?,Square root.,"1 and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 daughters in, family, how is that possible?', hasanswer':SomeEach brothers their the same brother': 'distractor1': '","aWhat is to boxer some favorite drink?', 'answer': 'Punch.',ddistractor3': 'okeoke.', 'distractoractorchoiceactor but...WP1 and outactoractoractor brother by'byistr"
WP-149_CR,What sort of root should one not eat?,Cube root.,"1 Mrs. Must Each have six daughters and each daughter has one brother. But there are only 9 in in the family, how is that possible?', haveanswer': 'Each brothers same the same brother.',':distractor1':Some some","a is a boxer favorite favorite drink?', 'answer': 'Punch.',ddistractor1': 'okeoke.', 'distractoractoractor some their...11 andactoractoractoractor by by job byistr-"
WP-150,What kind of mouse can't you feed cheese to?,A computer mouse.,"1ard have six daughters and each daughter has one brother. But there are only 9 in in, family, how is that possible?', 'answer': 'Each brothers their the same brother.', 'distractor1': 'Some daughters get married","a some favorite drink?',answeranswer':0Punch.',ddistractor moved': 'Coke.', 'distractoranswerchoiceactor brother...idd andactoractoractoractor brother 'byistr their ‘."", '"
WP-150_SR,What type of mouse are ineligible for cheese feeding?,A computer mouse.,"1 Mustard have six daughters and each daughter has one brother. But there are  to9 own in the family, how is that possible?', haveanswer': 'Each daughter their the same brother shares 'distractor1': 'Some daughters get","a boxer some favorite drink?', 'answer': 'Punch.',ddistractor1':Cokeoke.', 'distractoractorchoice their but...1id and',actoractoractor brother brother'byistr same-.',"
WP-150_CR,The kind of mouse engineers like most？,A computer mouse.,"1 Mrs. Must are have six daughters and each daughter has one brother. But there that  9 loved in the family, how is': possible?', haveanswer':'reEach’s their the same brother.', 'distractor1': 'Some","a is to boxer some favorite drink?', 'answer': 'Punch.',ddistractor1':':Coke.', 'distractoractorchoiceactor brother some...WP1 and outactoractoractor brother brother'byistr same"
WP-151,What kind of plant can't photosynthesize?,A power plant.,"1 Must'have six daughters and each daughter only one brother. But there are  9 in some the family, how is that possible has 'answer': 'Each brothers their the same brother.', 'distractor1': 'Some daughters married","a boxer some favorite drink?',':answer': 'Punch.',distristractor1': 'Coke.', 'distractoractoractoractor but....':WP0 theactoractoractorIn brother family byistractor same.',"
WP-151_SR,Which plants are incapable of photosynthesizing?,A power plant.,"1 Mustard have six daughters and each daughter has one brother. But there are  9 each in the family, how is that possible?', 'answer': 'Each daughter their the same brother.', 'istristractor1': 'Some daughters get","a boxer’s favorite drink?',':answer': 'Punch.',distristractor1':CCoke.', 'distractoractorchoiceactor their some...id WP and'sactoractoractor brother by '.istr)}
actor.',"
WP-151_CR,What plants can not photosyntheszie but can produce energy.,A nuclear plant.,"1 daughters and each daughter has one brother. But there are only 9 in in the family, how is that possible', haveanswer': 'Each brothers their the same brother.', 'distractor1': 'Some daughters get married and to their","and?', 'answer':PPunch.',ddistractoractor':Cokeoke.', 'distractoractorchoiceactor their some...11 and'sactoractoractor by brother'byistr same{'.',''-,"
